rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss
500.0,500.0,429,400,21,172032,-0.4464001156389713,0.0110595703125,5.782046100648586e-05,200,0.2,0.02752671018242836,-0.01687145233154297,0.0013994542,0.0003,0.013399336251495697
500.0,500.0,429,419,22,180224,-0.4229477210668847,0.02158203125,-0.0011869492518599145,210,0.2,0.00885123573243618,0.007607161998748779,0.003220141,0.0003,0.009431607622263981
500.0,500.0,430,438,23,188416,-0.41562943493481724,0.0164306640625,-0.0005531428971153219,220,0.2,0.001766581553965807,0.014152944087982178,0.0019342449,0.0003,0.006149101150765546
500.0,500.0,430,456,24,196608,-0.41140407091006637,0.026513671875,-0.0009507467097137123,230,0.2,-0.0032375697046518326,0.037113964557647705,0.0029205263,0.0003,0.004258272162905996
500.0,500.0,430,475,25,204800,-0.4070705285063013,0.04312744140625,-0.0018195327487774194,240,0.2,-0.006313757039606571,0.04952949285507202,0.0035216734,0.0003,0.002851073272393023
500.0,500.0,430,494,26,212992,-0.4072131799068302,0.0267333984375,-0.000806782855943311,250,0.2,-0.0015263843815773726,-0.021904349327087402,0.0039848415,0.0003,0.0019780019449967766
500.0,500.0,431,512,27,221184,-0.4124252672307193,0.0120849609375,-0.0001944019863003632,260,0.2,0.0002773383166640997,-0.004436492919921875,0.0021252367,0.0003,0.001408403579125661
500.0,500.0,431,531,28,229376,-0.43041980704292654,0.02158203125,-0.0003665618045488372,270,0.2,0.005575141869485378,-0.008327245712280273,0.002078108,0.0003,0.0009680721195508113
500.0,500.0,431,550,29,237568,-0.41876442104112355,0.01767578125,-0.0003552077865606407,280,0.2,0.00507102906703949,-0.0064765214920043945,0.0016677532,0.0003,0.0006937936785625709
500.0,500.0,431,569,30,245760,-0.4124675608705729,0.01162109375,-0.00019189888444088866,290,0.2,0.008440123870968819,0.007006585597991943,0.0018986061,0.0003,0.00047733818813782135
500.0,500.0,431,588,31,253952,-0.4188302862457931,0.01090087890625,5.324761368683539e-05,300,0.2,-0.0011485021095722914,0.022180378437042236,0.0015592116,0.0003,0.00033540502202598075
500.0,500.0,433,604,32,262144,-0.41686673888470976,0.024462890625,-0.0010173343896894948,310,0.2,-0.010159770026803017,0.023355484008789062,0.003030534,0.0003,0.00025821330368032137
500.0,500.0,436,619,33,270336,-0.4275640468345955,0.0302490234375,-0.0009518785303953336,320,0.2,-0.0015426934696733952,0.02732640504837036,0.0038091827,0.0003,0.00016958903418924366
500.0,500.0,438,634,34,278528,-0.4272973420796916,0.0451416015625,-0.001729348878870951,330,0.2,0.000415945629356429,0.03264397382736206,0.0037357989,0.0003,0.00012167695923395171
