time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl
31,61,126976,2074,934.72,0.6889070272445679,-33.017723860000004,0.0003,1.6543363153934478,0.2,0.0099853515625,300,-0.0017476130684372037,0.9830867536365986,-1.2056341230869294,0.0034105643
32,61,131072,2137,934.93,15.883200645446777,-31.709920620000005,0.0003,26.54862775802612,0.2,0.03359375,310,-0.0034070419264025987,0.7724086791276932,-1.151332437992096,0.0046664737
33,61,135168,2210,934.93,0.43680593371391296,-32.46089793,0.0003,1.1402908369898797,0.2,0.01611328125,320,-0.0022439497406594455,0.9902454754337668,-1.1558465480804443,0.0048505682
34,61,139264,2279,935.28,0.47308072447776794,-30.004356150000007,0.0003,1.2263711139559745,0.2,0.0220458984375,330,-0.001718476857058704,0.9854120705276728,-1.170297521352768,0.0037854253
35,61,143360,2343,935.28,0.4425880014896393,-29.901517239999997,0.0003,1.4812144845724107,0.2,0.0109619140625,340,-0.0023333010263741016,0.9856559643521905,-1.0090139657258987,0.0039073518
36,61,147456,2411,941.38,0.567687451839447,-28.11545451,0.0003,1.6235116750001908,0.2,0.0014892578125,350,-0.002095734648173675,0.9760922621935606,-1.026941853761673,0.0014605763
37,61,151552,2478,939.03,0.7539682984352112,-26.686277020000002,0.0003,1.795730248093605,0.2,0.0065185546875,360,-0.0015636761032510548,0.9780007284134626,-0.9325648650527001,0.0025469512
38,61,155648,2544,935.24,4.773430347442627,-25.96754514,0.0003,13.66920655965805,0.2,0.007177734375,370,-0.00340251675224863,0.8971195444464684,-0.9833968549966812,0.0045529865
39,61,159744,2610,935.24,21.10505485534668,-26.51020548,0.0003,29.239468812942505,0.2,0.00390625,380,-0.001684729289263487,0.8477288782596588,-0.8515174195170403,0.0005645109
40,61,163840,2672,933.18,0.7159135341644287,-25.919828929999998,0.0003,2.4205622881650926,0.2,0.0015380859375,390,-0.001534994225949049,0.9803226720541716,-0.9950406059622765,0.0012850487
41,61,167936,2736,921.06,5.606950283050537,-25.816598289999998,0.0003,16.01789733171463,0.2,0.003076171875,400,-0.0011021866055671125,0.9104978293180466,-0.8772157609462738,0.0010501042
42,61,172032,2794,911.05,12.128954887390137,-25.173123699999998,0.0003,28.396203422546385,0.2,0.0038818359375,410,-0.0008937212696764618,0.8885217159986496,-0.8446171626448631,0.0007767872
43,61,176128,2850,917.9,9.016183853149414,-23.853282359999998,0.0003,24.448747062683104,0.2,0.002197265625,420,-0.0017229325254447757,0.8378530889749527,-0.9395982384681701,0.0005132559
44,61,180224,2910,911.85,4.797551155090332,-24.095804319999992,0.0003,15.919587671756744,0.2,0.00166015625,430,-0.0014965590846259147,0.9277742356061935,-0.8934125527739525,0.0010208499
45,62,184320,2967,917.39,6.3339691162109375,-21.747818449999997,0.0003,13.262071746587754,0.2,0.00234375,440,-0.0011048731335904448,0.9343762695789337,-0.9178522825241089,0.0012837427
46,62,188416,3027,918.0,8.66636848449707,-20.769324740000002,0.0003,12.958638405799865,0.2,0.0035400390625,450,-0.002761828841175884,0.9089381098747253,-0.8440946847200393,0.0044293944
47,62,192512,3087,925.77,0.25729745626449585,-20.06670607,0.0003,0.6224977001547813,0.2,0.0086181640625,460,-0.002075945201795548,0.9916928401216865,-0.8502522379159927,0.0047029722
