rollout/ep_rew_mean,train/learning_rate,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/loss,rollout/exploration_rate
-163.07753741,0.0001,4250,17101,623,156,116.25,27,0.5273303985595703,0.6750810000000005
-163.75730481,0.0001,4364,17557,622,160,116.86,28,0.42600390315055847,0.6664170000000003
-164.67732454999998,0.0001,4501,18108,620,164,118.68,29,6.409454345703125,0.6559479999999998
-159.03736070999997,0.0001,4639,18660,619,168,119.46,30,0.5483537912368774,0.6454599999999998
-152.16468251999996,0.0001,4787,19249,618,172,121.34,31,3.825047254562378,0.6342689999999997
-154.44132457999999,0.0001,4936,19848,616,176,122.59,32,2.8017637729644775,0.6228880000000006
-152.68206977,0.0001,5089,20457,613,180,124.6,33,0.5227210521697998,0.611317
-148.75945895,0.0001,5255,21121,610,184,126.41,34,1.0550072193145752,0.5987009999999999
-147.75983502,0.0001,5416,21768,607,188,127.79,35,1.0106170177459717,0.5864079999999998
-146.67443060000002,0.0001,5702,22909,598,192,134.35,38,0.42502886056900024,0.5647289999999998
-148.08958798,0.0001,5825,23402,597,196,135.61,39,0.9608569145202637,0.5553620000000005
-140.75301804999998,0.0001,5976,24008,595,200,137.27,40,0.4297069013118744,0.5438479999999994
-140.27037140000002,0.0001,6221,24987,590,204,143.24,42,0.38441991806030273,0.5252470000000005
-138.32987732,0.0001,6443,25873,586,208,147.53,44,0.31564226746559143,0.5084130000000004
-133.85762634000002,0.0001,6849,27499,568,212,159.81,48,0.7203021049499512,0.47751900000000014
-130.77645697000003,0.0001,7107,28530,563,216,165.71,50,1.3321964740753174,0.45793000000000006
-128.48997153,0.0001,7334,29437,560,220,170.24,52,4.106091499328613,0.4406970000000002
-129.30929099000002,0.0001,7634,30637,554,224,177.78,55,0.7139755487442017,0.4178969999999995
-127.20506441999999,0.0001,8089,32457,542,228,191.31,59,0.5151835680007935,0.3833169999999998
-129.28830677000002,0.0001,8494,34078,535,232,202.51,63,0.5828640460968018,0.3525180000000001
-123.68016229999999,0.0001,9267,37170,509,236,227.79,72,0.9287140369415283,0.2937700000000004
-119.85328935,0.0001,9856,39525,491,240,247.33,80,1.3632266521453857,0.2490250000000005
-115.49497448999999,0.0001,10674,42798,467,244,274.56,91,0.6394528150558472,0.18683799999999995
-115.09616290999999,0.0001,11674,46798,447,248,309.19,104,4.084229946136475,0.11083799999999988
-111.59863338000002,0.0001,12674,50798,426,252,342.5,119,0.48781201243400574,0.05
-109.98311505999999,0.0001,13498,54095,412,256,369.94,131,0.6940767765045166,0.05
-109.48969656999999,0.0001,14498,58095,401,260,405.38,144,1.3116815090179443,0.05
-109.61457858,0.0001,15498,62095,387,264,439.87,160,0.49821150302886963,0.05
-107.77145442,0.0001,16498,66095,379,268,474.35,174,0.3933517038822174,0.05
-104.18247959,0.0001,17392,69671,374,272,504.22,186,0.4224816560745239,0.05
-101.06979527,0.0001,18261,73146,368,276,532.98,198,1.0197564363479614,0.05
-97.48315419,0.0001,19125,76604,366,280,561.47,209,1.5460377931594849,0.05
-97.11299752000002,0.0001,20125,80604,363,284,594.83,221,0.8097144365310669,0.05
-96.47815198,0.0001,21125,84604,358,288,628.36,236,0.5875500440597534,0.05
-94.87086744000003,0.0001,22125,88604,356,292,656.95,248,1.9602240324020386,0.05
-92.92073359999999,0.0001,23125,92604,351,296,692.02,263,0.4884883165359497,0.05
-92.30269724000001,0.0001,24125,96604,350,300,725.96,275,0.6707976460456848,0.05
-90.10383294999998,0.0001,25125,100604,349,304,756.17,287,1.6521379947662354,0.05
-91.88898679,0.0001,26125,104604,347,308,787.31,300,0.4592418968677521,0.05
-95.44283031000003,0.0001,27125,108604,346,312,811.05,313,0.7703515291213989,0.05
