time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction
57344,139,-65.03085843999999,409,28,322.23,71.71814727783203,0.5324805378913879,0.0003,-0.0055383367376634855,0.0057327086,122.67795025110244,270,0.2,-1.07786655575037,0.032275390625
59392,140,-64.68572568,423,29,338.95,17.926321029663086,0.7084036469459534,0.0003,-0.00945317347359378,0.011671372,79.16811131238937,280,0.2,-1.0469925994053484,0.099853515625
61440,139,-62.43493968,438,30,355.95,40.37361145019531,0.5637322664260864,0.0003,-0.006210958564770408,0.008625477,128.0309515953064,290,0.2,-1.037533439323306,0.0796875
63488,140,-54.64198987,453,31,369.1,27.93743324279785,0.8041101545095444,0.0003,-0.0069463181716855615,0.012838615,49.73572497963905,300,0.2,-1.0397745836526155,0.0775390625
65536,140,-50.021894849999995,467,32,380.94,36.54043197631836,0.5786410570144653,0.0003,-0.005037379555869847,0.006764608,166.69314556121827,310,0.2,-0.9586432993412017,0.04052734375
67584,139,-54.95515604,483,33,390.48,36.50467300415039,0.5366112291812897,0.0003,-0.006649453387944959,0.0118027385,154.55476269721984,320,0.2,-0.9272044721990824,0.067822265625
69632,138,-52.665478700000016,501,34,400.13,22.880956649780273,0.00963670015335083,0.0003,-0.010191942850360647,0.010117166,153.8673166513443,330,0.2,-1.0837583247572184,0.144873046875
71680,138,-50.076674090000004,517,35,417.08,65.42915344238281,0.5267991125583649,0.0003,-0.008032787652336993,0.008026787,86.4874462544918,340,0.2,-0.9899197719991207,0.0763671875
73728,138,-49.55896507000001,533,36,428.95,80.94198608398438,0.5187716782093048,0.0003,-0.0063770761364139615,0.005830718,122.58117344379426,350,0.2,-0.9599681355059146,0.0349609375
75776,138,-44.591166630000004,548,37,447.69,11.575654029846191,0.6782999634742737,0.0003,-0.006573428411502391,0.009984462,52.51230730712414,360,0.2,-0.9778076274320483,0.121044921875
77824,137,-40.965999190000005,564,38,458.57,154.99839782714844,0.582477480173111,0.0003,-0.005096774848061614,0.005693709,171.69714752435684,370,0.2,-0.8725890830159188,0.035009765625
79872,137,-34.68717909,580,39,472.64,75.89344024658203,0.5129794776439667,0.0003,-0.005837738054106012,0.007412005,81.48106985986233,380,0.2,-0.9011497307568789,0.091015625
81920,137,-34.13975107,597,40,467.54,8.554287910461426,0.5817512571811676,0.0003,-0.008423537315684371,0.0093853045,104.75477280616761,390,0.2,-0.7754594214260578,0.106982421875
83968,136,-29.129356450000003,614,41,478.11,10.456448554992676,0.5911910235881805,0.0003,-0.00409933840855956,0.0052655498,77.32300850600004,400,0.2,-0.7319664424285293,0.058349609375
86016,136,-21.20281396000001,629,42,494.36,24.277732849121094,0.39900344610214233,0.0003,-0.004290967716951854,0.0054098764,170.4736387193203,410,0.2,-0.9082389023154974,0.033642578125
88064,136,-14.284418670000003,645,43,507.03,96.80577087402344,0.4177170991897583,0.0003,-0.004931401164503768,0.0070281187,243.1432877779007,420,0.2,-0.7906493039801716,0.03349609375
90112,136,-8.91453617,661,44,510.48,53.845947265625,0.33095383644104004,0.0003,-0.004272308955842163,0.0065859375,200.76390982866286,430,0.2,-0.8653950989246368,0.046826171875
92160,136,-1.3124263600000017,675,45,518.48,27.840656280517578,0.40818285942077637,0.0003,-0.003846206692105625,0.0066541852,114.01572574973106,440,0.2,-0.9454736433923244,0.050634765625
94208,137,11.489254249999997,687,46,530.21,80.30799102783203,0.42344820499420166,0.0003,-0.005091867133160122,0.0058625853,198.9656428694725,450,0.2,-0.8419952498748898,0.04833984375
96256,137,15.89646218,698,47,534.16,38.45636749267578,0.5876598954200745,0.0003,-0.0038342136394931003,0.004997493,134.45274264812468,460,0.2,-0.7455618510022759,0.04716796875
98304,138,24.758232270000004,712,48,540.04,122.49723815917969,0.29977065324783325,0.0003,-0.00540611837641336,0.0064901533,219.8830941915512,470,0.2,-0.8404376346617937,0.04326171875
100352,138,37.75500808,725,49,549.65,16.361406326293945,0.6560223996639252,0.0003,-0.0031806381273781882,0.0073118256,81.15518281161785,480,0.2,-0.877782660908997,0.08974609375
