time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range
23,47104,378,-60.748158570000015,124,270.07,0.007819805,82.44896697998047,0.068212890625,0.0003,-1.0467073751613498,0.054380595684051514,-0.004937115848588291,230.92118359804152,220,0.2
24,49152,377,-65.06252214999999,130,288.0,0.010872928,34.336673736572266,0.08115234375,0.0003,-1.1365196634083987,0.5276714563369751,-0.007620980474166572,111.6873204946518,230,0.2
25,51200,373,-70.80441592,136,305.1,0.0061433986,197.82406616210938,0.046435546875,0.0003,-1.0026673993095756,0.2691008448600769,-0.004205046984134242,308.3629232645035,240,0.2
26,53248,371,-68.62016515,143,317.1,0.0138470875,50.61159896850586,0.132861328125,0.0003,-1.0675517737865448,0.2050800323486328,-0.012286954009323382,160.25786168575286,250,0.2
27,55296,367,-67.12735205,150,328.84,0.0045452276,63.99167251586914,0.02939453125,0.0003,-1.0937153350561857,0.49290210008621216,-0.004336311962106265,168.68449008464813,260,0.2
28,57344,364,-62.62577058,157,347.56,0.009195108,29.951387405395508,0.098876953125,0.0003,-1.1364721175283194,0.5042159855365753,-0.00865622223354876,93.52980275154114,270,0.2
29,59392,363,-62.00657650000001,163,359.94,0.007977365,66.3946304321289,0.079541015625,0.0003,-1.1123959060758353,0.6635372340679169,-0.008534359199984465,69.39212240576744,280,0.2
30,61440,360,-62.32420515999999,170,364.93,0.0064098993,112.00934600830078,0.0310546875,0.0003,-1.1015589602291584,0.5182417631149292,-0.007647718669613823,174.48200373649598,290,0.2
31,63488,356,-59.88600736999999,177,380.33,0.0078285,26.585498809814453,0.083837890625,0.0003,-1.0395282693207264,0.6807486414909363,-0.006415567971998826,85.71217031478882,300,0.2
32,65536,353,-57.81469988,185,396.63,0.0065248567,18.986209869384766,0.06015625,0.0003,-1.081746919825673,0.7364988625049591,-0.004226218929397873,43.322195786237714,310,0.2
33,67584,351,-56.64765321,192,404.84,0.0060199406,7.6078643798828125,0.07119140625,0.0003,-0.9745430210605264,0.7716897577047348,-0.0049943355494178835,25.282715782523155,320,0.2
34,69632,349,-55.69847509000001,199,420.09,0.008994123,51.35782241821289,0.103955078125,0.0003,-1.0502930123358964,0.5877809524536133,-0.009770402920548805,57.7847806930542,330,0.2
