time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/loss,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/std
17408,34,43,403,0.13266271175816655,-0.00039344653487205505,-58.17778423529412,0.9314166679978371,0.0020115392,-0.001599477289710194,1000.0,0.2,-4.239192271232605,0.0001,0.0001953125,330,0.9945091009140015
17920,35,42,416,1.2134269312024117,0.39735668897628784,-58.17778423529412,0.5602471828460693,0.003011515,-0.0012848328216932714,1000.0,0.2,-4.241482889652252,0.0001,0.001953125,340,0.9954488277435303
18432,36,42,428,0.038131091988179835,-0.003083688672631979,-58.817738999999996,-0.004210829734802246,0.0021471358,-0.00025993860326707364,1000.0,0.2,-4.2433208465576175,0.0001,0.0005859375,350,0.9954673647880554
18944,37,43,439,1.6574696213006974,0.8926233649253845,-58.817738999999996,0.5285635590553284,0.009955755,-0.008140549855306744,1000.0,0.2,-4.242327618598938,0.0001,0.057421875,360,0.9950283765792847
19456,38,43,450,0.6453879937529564,0.15619128942489624,-58.87996326315789,0.09226739406585693,0.0018971685,-0.0014171720482409,1000.0,0.2,-4.240912926197052,0.0001,0.0,370,0.9944489002227783
19968,39,43,463,1.0398982971906663,0.36343157291412354,-58.87996326315789,0.648061066865921,0.0021513617,-0.0019875945057719947,1000.0,0.2,-4.239841091632843,0.0001,0.001171875,380,0.9944393038749695
20480,40,42,476,0.2374794921837747,0.12295212596654892,-59.40339805,0.029654860496520996,0.0044613583,-0.0028383438708260655,1000.0,0.2,-4.2404931545257565,0.0001,0.00390625,390,0.9948264360427856
20992,41,43,487,0.9891532346606254,0.26388019323349,-59.40339805,0.6236170530319214,0.003050227,-0.0029083772096782923,1000.0,0.2,-4.240096366405487,0.0001,0.003515625,400,0.9939910769462585
21504,42,43,499,0.7957158494740725,0.4276578724384308,-59.62477376190476,0.5104463994503021,0.004683693,-0.002200959948822856,1000.0,0.2,-4.238872969150544,0.0001,0.00859375,410,0.994379997253418
22016,43,43,509,1.6111125484108926,0.6830366849899292,-59.91627204545455,0.6145546734333038,0.0036931015,-0.0018564186524599791,1000.0,0.2,-4.240362870693207,0.0001,0.003515625,420,0.9948310852050781
22528,44,43,521,0.3691035233438015,0.13190650939941406,-59.91627204545455,0.5805051922798157,0.0021556946,-0.0013346512103453278,1000.0,0.2,-4.241042256355286,0.0001,0.0005859375,430,0.9947535395622253
23040,45,43,532,1.3707156375050544,0.3816899359226227,-59.83478013043479,0.53998002409935,0.0017369217,-0.000992140860762447,1000.0,0.2,-4.240190124511718,0.0001,0.0005859375,440,0.9943159818649292
23552,46,43,543,1.6615760624408722,0.4141460061073303,-59.83478013043479,0.5472843647003174,0.0015631114,-0.0012833626242354512,1000.0,0.2,-4.238041234016419,0.0001,0.00078125,450,0.9931961894035339
24064,47,43,556,3.7459350287914277,1.4780406951904297,-58.24035708333333,0.2997286915779114,0.00024044188,-0.00020125976298004388,1000.0,0.2,-4.235025608539582,0.0001,0.0,460,0.9927319288253784
24576,48,43,570,0.42084936872124673,0.10832452774047852,-58.24035708333333,0.8389507085084915,0.012752078,-0.00811695579905063,1000.0,0.2,-4.234669649600983,0.0001,0.0587890625,470,0.9927843809127808
25088,49,42,584,2.2862444296479225,0.8412953615188599,-57.99457512,0.2779958248138428,0.00014063448,0.00031789238564670084,1000.0,0.2,-4.234432315826416,0.0001,0.0,480,0.9925141334533691
25600,50,42,595,2.6814936637878417,0.7756808400154114,-57.99457512,0.5348730087280273,0.008965269,-0.00610405073966831,1000.0,0.2,-4.2339635491371155,0.0001,0.0388671875,490,0.9925804138183594
26112,51,42,609,0.7814253821969033,0.23769761621952057,-58.136032769230766,0.06706911325454712,0.001008522,-0.00047851527342572807,1000.0,0.2,-4.233779788017273,0.0001,0.0,500,0.9923450350761414
26624,52,42,621,1.036177295446396,0.7291700839996338,-58.136032769230766,0.7525160163640976,0.0050746147,-0.00272104125469923,1000.0,0.2,-4.232370972633362,0.0001,0.0091796875,510,0.9915503263473511
27136,53,42,631,0.05870642124209553,-0.005672283470630646,-58.78945922222223,-0.2155073881149292,0.010681586,-0.0048303256509825586,1000.0,0.2,-4.230117392539978,0.0001,0.0666015625,520,0.9904901385307312
27648,54,42,643,3.743266907334328,1.4780683517456055,-58.78945922222223,0.6045851111412048,0.002565721,-0.0016050123842433095,1000.0,0.2,-4.226165986061096,0.0001,0.0001953125,530,0.9895806312561035
28160,55,42,656,1.505911648273468,0.5315871834754944,-57.71024385714286,0.6433518528938293,0.0018909883,-0.0019055078388191759,1000.0,0.2,-4.225261616706848,0.0001,0.0,540,0.9897960424423218
28672,56,42,668,3.908777967095375,1.7228848934173584,-57.71024385714286,0.5971719920635223,0.0011617352,-0.0007582908496260643,1000.0,0.2,-4.226410365104675,0.0001,0.0,550,0.9902186393737793
29184,57,42,680,0.3930428745225072,0.09886484593153,-57.10983913793104,-0.02314150333404541,0.012455368,-0.005868839006870985,1000.0,0.2,-4.226290380954742,0.0001,0.0580078125,560,0.9894160628318787
29696,58,42,692,1.7536248981952667,0.6567452549934387,-57.10983913793104,0.7268347442150116,0.0007705024,-0.0005486864363774657,1000.0,0.2,-4.223708713054657,0.0001,0.0,570,0.988871693611145
30208,59,42,705,0.44011312667280433,0.06574088335037231,-56.962934600000004,0.2562045454978943,0.0041931886,-0.0027090525953099133,1000.0,0.2,-4.223415720462799,0.0001,0.0046875,580,0.9892891645431519
30720,60,42,720,1.6216208606958389,0.5822331309318542,-56.962934600000004,0.7384226620197296,0.00022029283,0.00014606633922085167,1000.0,0.2,-4.224830424785614,0.0001,0.0,590,0.989567756652832
31232,61,42,732,1.3846885696053506,0.41851088404655457,-56.03838467741936,0.5987259745597839,0.00035966572,-0.00032848259434103966,1000.0,0.2,-4.225496447086334,0.0001,0.0,600,0.989809513092041
31744,62,42,742,0.9227504663169384,0.3143426477909088,-56.03838467741936,0.8391924649477005,0.0021967026,-0.0018367294687777758,1000.0,0.2,-4.226686429977417,0.0001,0.0001953125,610,0.990485668182373
32256,63,42,754,0.2857084058225155,0.03628619760274887,-55.859390125,0.7656233310699463,0.0016989044,-0.0006382864899933338,1000.0,0.2,-4.228183889389038,0.0001,0.0,620,0.9903591871261597
32768,64,42,765,4.374910879135132,1.8332692384719849,-55.859390125,0.7353911697864532,0.0051428387,-0.004246058734133839,1000.0,0.2,-4.22690441608429,0.0001,0.011328125,630,0.9898813962936401
33280,65,42,776,0.44166219104081395,0.057813383638858795,-58.363095848484846,0.11315500736236572,0.009217504,-0.004931710450910032,996.4242424242424,0.2,-4.226058483123779,0.0001,0.0392578125,640,0.9901549816131592
33792,66,42,789,133.4887285232544,42.166072845458984,-58.363095848484846,-0.02852785587310791,0.0008474402,-0.0021625386318191884,996.4242424242424,0.2,-4.2272087097167965,0.0001,0.0,650,0.9901450872421265
34304,67,42,800,0.02930871743010357,-0.016285929828882217,-59.135222,-1.0592317581176758,0.008107115,-0.007627940026577562,996.5294117647059,0.2,-4.228127384185791,0.0001,0.0921875,660,0.9915103912353516
34816,68,42,814,6.421733713150024,1.743727684020996,-59.135222,0.3275778293609619,0.00015981146,-0.00032016467303037645,996.5294117647059,0.2,-4.23234875202179,0.0001,0.0,670,0.9921187162399292
35328,69,42,824,6.923162221908569,2.244096040725708,-56.329277142857144,0.5549622774124146,0.00044332328,-0.0006716487929224968,996.6285714285714,0.2,-4.233306169509888,0.0001,0.0,680,0.9923319816589355
35840,70,42,835,2.871530070900917,0.9208006858825684,-56.329277142857144,0.7984926253557205,0.0003861686,-0.000548866530880332,996.6285714285714,0.2,-4.233659052848816,0.0001,0.0,690,0.9923752546310425
36352,71,42,848,1.0745195679366588,0.2994839549064636,-56.120282249999995,-0.4778217077255249,0.006439922,-0.004004067904315889,996.7222222222222,0.2,-4.233552932739258,0.0001,0.0158203125,700,0.9921450614929199
36864,72,42,859,0.28992067091166973,0.1363636553287506,-56.120282249999995,0.48543816804885864,0.0055051353,-0.0007423859322443604,996.7222222222222,0.2,-4.233047318458557,0.0001,0.00859375,710,0.9924141764640808
