train/learning_rate,time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/total_timesteps,train/n_updates,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed
0.0001,656,732,131.92,5.687527656555176,97934,24458,0.05,-219.14175294,133
0.0001,660,732,132.84,6.416036605834961,98451,24587,0.05,-220.86189298999997,134
0.0001,664,732,132.55,1.1458239555358887,98963,24715,0.05,-223.06455948,135
0.0001,668,732,133.38,12.470418930053711,99570,24867,0.05,-217.90484109000002,135
0.0001,672,732,132.29,30.83975601196289,100010,24977,0.05,-214.02728633000004,136
0.0001,676,732,132.16,0.01214594766497612,100439,25084,0.05,-212.61082307999996,137
0.0001,680,732,133.68,7.271648406982422,101118,25254,0.05,-213.31955811000003,138
0.0001,684,732,133.58,2.782003402709961,101618,25379,0.05,-214.82020563999998,138
0.0001,688,731,135.4,30.498451232910156,102234,25533,0.05,-220.33462962,139
0.0001,692,731,131.14,8.25699234008789,102693,25648,0.05,-225.65190976000002,140
0.0001,696,731,129.56,5.985487461090088,103262,25790,0.05,-227.62597012999998,141
0.0001,700,731,130.13,9.738442420959473,103756,25913,0.05,-227.30338279,141
0.0001,704,730,131.12,8.005220413208008,104287,26046,0.05,-226.12659589999998,142
0.0001,708,730,132.69,1.5457019805908203,104909,26202,0.05,-227.03891576,143
0.0001,712,730,132.4,9.612495422363281,105316,26303,0.05,-223.91894876000006,144
0.0001,716,729,130.65,6.891103744506836,105748,26411,0.05,-219.25097744999997,144
0.0001,720,729,130.54,4.138728399993852e-07,106248,26536,0.05,-219.40586434999997,145
0.0001,724,728,131.31,0.5338344573974609,107012,26727,0.05,-220.58911366,146
0.0001,728,728,131.71,5.727824687957764,107555,26863,0.05,-219.53223373000003,147
0.0001,732,728,131.51,9.167914390563965,107992,26972,0.05,-213.53634756,148
0.0001,736,728,130.9,9.625121116638184,108476,27093,0.05,-210.66691808,148
0.0001,740,728,131.03,1.421457290649414,108938,27209,0.05,-210.66318943,149
0.0001,744,727,131.71,10.534796714782715,109462,27340,0.05,-211.27692770000002,150
0.0001,748,727,133.98,8.928991317749023,110137,27509,0.05,-208.21669638,151
0.0001,752,727,133.34,65.29690551757812,110677,27644,0.05,-205.36640584,152
0.0001,756,726,134.69,1.2748184204101562,111403,27825,0.05,-205.88738313000002,153
0.0001,760,726,135.99,3.029165267944336,112050,27987,0.05,-204.19892802,154
0.0001,764,725,136.15,0.4044417440891266,112578,28119,0.05,-202.18234757000002,155
0.0001,768,725,134.69,11.592422485351562,113039,28234,0.05,-204.20344694999997,155
0.0001,772,725,135.2,9.899452209472656,113530,28357,0.05,-206.56678419,156
0.0001,776,725,135.79,4.83607292175293,114018,28479,0.05,-209.48250262999997,157
0.0001,780,724,134.76,1.2606792449951172,114594,28623,0.05,-206.74736378999995,158
0.0001,784,724,135.3,11.51915454864502,115148,28761,0.05,-204.13206940999996,158
0.0001,788,724,133.82,0.019974887371063232,115616,28878,0.05,-199.54831355,159
0.0001,792,723,136.55,8.513201713562012,116348,29061,0.05,-199.72429432,160
0.0001,796,723,137.04,3.1142749786376953,116966,29216,0.05,-200.56617959999997,161
0.0001,800,723,137.07,4.910888671875,117463,29340,0.05,-201.43047462,162
0.0001,804,723,137.55,2.500248432159424,118042,29485,0.05,-202.19915619000002,163
0.0001,808,723,137.14,0.8600196838378906,118623,29630,0.05,-203.89992742,163
0.0001,812,723,139.44,4.105068206787109,119260,29789,0.05,-203.06411487000003,164
0.0001,816,723,140.72,1.4573860168457031,119820,29929,0.05,-202.35006257,165
0.0001,820,723,141.25,36.754974365234375,120373,30068,0.05,-200.1964919,166
0.0001,824,723,138.9,7.795063018798828,120902,30200,0.05,-200.02197264000003,167
0.0001,828,723,139.58,2.41568660736084,121513,30353,0.05,-195.39843981,167
0.0001,832,723,140.54,18.754714965820312,122046,30486,0.05,-196.05526446999997,168
0.0001,836,724,142.0,0.19202494621276855,122676,30643,0.05,-197.57086308,169
0.0001,840,724,142.12,14.702093124389648,123150,30762,0.05,-196.54980368999998,170
0.0001,844,724,142.73,4.115421295166016,123735,30908,0.05,-195.50343922,170
0.0001,848,724,141.63,3.0114593505859375,124300,31049,0.05,-194.07008149,171
0.0001,852,724,140.88,2.5908007621765137,124765,31166,0.05,-193.45863518000002,172
0.0001,856,724,138.46,4.570907115936279,125249,31287,0.05,-192.1693815,172
0.0001,860,724,137.16,7.179523468017578,125766,31416,0.05,-190.5375265,173
0.0001,864,724,136.6,2.221912384033203,126238,31534,0.05,-190.46525838999997,174
0.0001,868,724,137.54,62.74573516845703,126793,31673,0.05,-187.81907994999997,174
0.0001,872,724,138.05,5.107770919799805,127335,31808,0.05,-187.71843623,175
0.0001,876,725,139.4,0.6057891845703125,127958,31964,0.05,-186.48878914999997,176
0.0001,880,725,138.17,5.17180871963501,128411,32077,0.05,-185.29020796999998,177
0.0001,884,725,138.11,1.6353759765625,128959,32214,0.05,-187.42144729999995,177
0.0001,888,725,139.43,0.11301027238368988,129559,32364,0.05,-190.81948734999997,178
0.0001,892,725,137.19,16.37549591064453,130067,32491,0.05,-185.94981515999999,179
0.0001,896,725,137.28,1.05755615234375,130694,32648,0.05,-186.13772824999995,180
0.0001,900,725,138.12,14.865568161010742,131275,32793,0.05,-185.14292145,180
0.0001,904,725,136.99,90.89385986328125,131741,32910,0.05,-185.41302476,181
0.0001,908,725,136.23,10.494720458984375,132246,33036,0.05,-183.74321452,182
0.0001,912,725,135.23,15.236114501953125,132783,33170,0.05,-179.99902405999998,182
0.0001,916,726,134.76,1.0385215282440186,133296,33298,0.05,-180.88125911,183
0.0001,920,726,134.46,6.8563232421875,133819,33429,0.05,-184.03119279999999,184
0.0001,924,726,134.74,2.7344207763671875,134376,33568,0.05,-185.44478488999997,185
0.0001,928,726,132.74,0.25895923376083374,134787,33671,0.05,-187.61181665,185
0.0001,932,726,132.56,13.227256774902344,135302,33800,0.05,-189.72615699,186
0.0001,936,726,132.4,0.26411840319633484,135916,33953,0.05,-187.46910439000004,187
0.0001,940,726,133.78,10.321483612060547,136528,34106,0.05,-182.42178674,187
0.0001,944,726,133.51,4.425992965698242,137086,34246,0.05,-181.44121528999992,188
0.0001,948,726,134.15,1.1582412719726562,137715,34403,0.05,-183.30112778000003,189
0.0001,952,726,134.58,7.947967529296875,138223,34530,0.05,-183.69700926999997,190
0.0001,956,725,137.31,2.3346328735351562,138980,34719,0.05,-177.52389556000003,191
0.0001,960,725,137.31,25.438140869140625,139497,34849,0.05,-179.07491595,192
0.0001,964,725,138.19,22.935142517089844,140057,34989,0.05,-179.9930338,192
0.0001,968,726,137.83,0.9644412994384766,140576,35118,0.05,-180.87184966,193
0.0001,972,726,137.35,5.235145568847656,141070,35242,0.05,-178.40462497000001,194
0.0001,976,726,136.49,4.700359344482422,141607,35376,0.05,-175.67061890000005,194
0.0001,980,726,137.85,0.9379810094833374,142196,35523,0.05,-181.46298019000002,195
0.0001,984,726,137.35,7.209907531738281,142694,35648,0.05,-181.90233046,196
0.0001,988,726,136.81,4.559974670410156,143240,35784,0.05,-183.25110321000003,197
0.0001,992,726,136.54,88.55026245117188,143721,35905,0.05,-186.473932,197
0.0001,996,726,135.35,31.484046936035156,144229,36032,0.05,-188.23061453,198
0.0001,1000,726,135.29,0.30909761786460876,144804,36175,0.05,-184.44880504,199
0.0001,1004,726,136.38,1.5100860595703125,145379,36319,0.05,-178.88009108999998,199
0.0001,1008,727,136.82,2.1895790100097656,145928,36456,0.05,-179.12506472999996,200
0.0001,1012,727,137.07,1.6184272766113281,146490,36597,0.05,-179.95818679,201
0.0001,1016,727,138.13,7.1841888427734375,147109,36752,0.05,-183.58734009999998,202
0.0001,1020,727,138.48,0.9599142074584961,147667,36891,0.05,-182.22952471,203
0.0001,1024,727,139.51,2.865938901901245,148327,37056,0.05,-180.87790438000005,203
0.0001,1028,727,141.99,7.259395599365234,148986,37221,0.05,-181.48589266999997,204
0.0001,1032,727,143.53,3.5437731742858887,149655,37388,0.05,-179.76899612999998,205
0.0001,1036,727,143.07,8.216796875,150223,37530,0.05,-177.14350208999997,206
0.0001,1040,727,143.29,22.44451904296875,150857,37689,0.05,-177.23290595999998,207
0.0001,1044,727,144.69,2.4724578857421875,151555,37863,0.05,-173.40618964,208
0.0001,1048,727,143.07,113.62614440917969,152022,37980,0.05,-175.52755735,208
0.0001,1052,727,143.18,13.906312942504883,152541,38110,0.05,-172.99906208000002,209
0.0001,1056,727,140.6,2.094700574874878,153040,38234,0.05,-176.82888883000004,210
0.0001,1060,728,140.55,0.7274341583251953,153552,38362,0.05,-174.43594374999998,210
0.0001,1064,728,141.61,8.01007080078125,154218,38529,0.05,-173.00086723999996,211
0.0001,1068,728,141.99,0.708457350730896,154775,38668,0.05,-171.70113628000001,212
0.0001,1072,728,141.93,2.7414627075195312,155263,38790,0.05,-170.7405888,213
0.0001,1076,728,142.7,5.442737579345703,155877,38944,0.05,-169.56881181,214
0.0001,1080,728,142.78,2.3156661987304688,156474,39093,0.05,-166.63496122,214
0.0001,1084,727,142.56,13.426580429077148,156950,39212,0.05,-164.6243397,215
0.0001,1088,727,143.13,0.7481307983398438,157553,39363,0.05,-158.64362682000004,216
