rollout/exploration_rate,rollout/ep_len_mean,train/loss,time/episodes,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,time/time_elapsed,train/learning_rate,time/fps
0.4569420000000002,161.58,9.578346252441406,216,-212.83753840999998,28582,7120,31,0.0001,906
0.4442309999999996,164.35,14.956100463867188,220,-209.40009988999998,29251,7287,32,0.0001,904
0.424623,169.33,9.539953231811523,224,-197.89038666999997,30283,7545,33,0.0001,899
0.4068390000000002,174.56,1.5601768493652344,228,-190.83953439,31219,7779,34,0.0001,895
0.38481799999999977,181.51,1.1668952703475952,232,-186.72558702000003,32378,8069,36,0.0001,886
0.35816100000000006,190.69,5.6270060539245605,236,-189.47248058999998,33781,8420,38,0.0001,873
0.32316299999999976,205.02,2.036914348602295,240,-184.08415758000004,35623,8880,41,0.0001,848
0.30456199999999956,210.39,20.37369155883789,244,-184.36945364,36602,9125,43,0.0001,845
0.27817100000000006,217.34,15.800605773925781,248,-187.44148764000002,37991,9472,45,0.0001,836
0.2504120000000003,227.83,11.184589385986328,252,-196.79631606000004,39452,9837,47,0.0001,828
0.2243250000000001,237.21,8.524259567260742,256,-193.09501772,40825,10181,49,0.0001,817
0.2035959999999999,243.44,8.39954948425293,260,-193.49411178999998,41916,10453,51,0.0001,813
