rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
385.38,260,428,0.05,109244,419,-66.56641033,27285,0.0001,0.50397789478302
375.36,264,432,0.05,110893,419,-72.1694164,27698,0.0001,1.137866497039795
372.16,266,436,0.05,111582,419,-74.33322926,27870,0.0001,1.2744344472885132
378.65,275,440,0.05,114029,414,-76.93172076,28482,0.0001,0.7650845646858215
391.82,282,444,0.05,116614,412,-77.49153749,29128,0.0001,0.6686872243881226
394.39,287,448,0.05,118326,410,-82.08232129,29556,0.0001,0.3511209487915039
405.85,296,452,0.05,120748,407,-80.71903906,30161,0.0001,1.5163912773132324
402.91,297,456,0.05,121605,408,-82.89205657999999,30376,0.0001,0.506051778793335
414.61,304,460,0.05,124025,406,-82.49744596999999,30981,0.0001,0.4998667240142822
443.12,318,464,0.05,128025,401,-82.22322528000001,31981,0.0001,0.504677414894104
452.68,328,468,0.05,130686,398,-79.79462543000001,32646,0.0001,0.39003443717956543
466.38,339,472,0.05,133860,394,-81.40927852000002,33439,0.0001,0.49533236026763916
478.98,348,476,0.05,136457,391,-81.85441271000002,34089,0.0001,0.5398925542831421
498.8,358,480,0.05,139474,388,-80.37303360000001,34843,0.0001,0.34117448329925537
510.28,366,484,0.05,141949,386,-85.83203592,35462,0.0001,0.38739436864852905
529.47,377,488,0.05,145187,384,-89.34673929,36271,0.0001,0.44704627990722656
560.78,391,492,0.05,149187,380,-92.92746017000002,37271,0.0001,0.4154540002346039
585.0,401,496,0.05,152469,379,-89.70243968000003,38092,0.0001,0.33716654777526855
578.12,406,500,0.05,154360,379,-90.03934640000001,38564,0.0001,1.3754937648773193
575.17,413,504,0.05,156883,379,-89.42849337000001,39195,0.0001,0.48232537508010864
582.62,421,508,0.05,159381,378,-87.93039605,39820,0.0001,0.34137487411499023
592.19,431,512,0.05,162741,376,-84.32723495,40660,0.0001,0.5938464403152466
622.12,445,516,0.05,166741,374,-88.77350605,41660,0.0001,0.8520451784133911
644.06,456,520,0.05,170498,373,-84.64895268999999,42599,0.0001,3.683978796005249
663.23,470,524,0.05,174498,371,-86.50346199999998,43599,0.0001,0.42785367369651794
692.54,483,528,0.05,178498,369,-90.31138947000001,44599,0.0001,0.39295440912246704
716.05,495,532,0.05,182498,367,-90.90847526000002,45599,0.0001,0.48673850297927856
749.16,509,536,0.05,186498,365,-89.92019012999998,46599,0.0001,0.3239394426345825
764.69,522,540,0.05,190498,364,-88.19850900999998,47599,0.0001,0.3586277365684509
770.94,532,544,0.05,193708,363,-85.28173643,48401,0.0001,0.25389277935028076
786.19,543,548,0.05,196945,362,-83.85281845,49211,0.0001,0.3037101626396179
794.93,554,552,0.05,200241,360,-83.49544739,50035,0.0001,0.3193311095237732
826.36,568,556,0.05,204241,359,-80.90109035999998,51035,0.0001,0.4243050813674927
842.16,583,560,0.05,208241,357,-79.19771125999999,52035,0.0001,0.3106166422367096
842.16,597,564,0.05,212241,355,-76.18129436999999,53035,0.0001,0.247820645570755
854.61,609,568,0.05,216147,354,-73.56629548000001,54011,0.0001,0.3357198238372803
858.95,621,572,0.05,219755,353,-67.07961953,54913,0.0001,0.2738427519798279
872.98,634,576,0.05,223755,352,-65.54752566999998,55913,0.0001,0.17874127626419067
873.66,644,580,0.05,226840,352,-63.18128539,56684,0.0001,0.40883132815361023
888.91,657,584,0.05,230840,351,-58.038984580000005,57684,0.0001,0.3732908368110657
890.83,666,588,0.05,234270,351,-56.212837050000005,58542,0.0001,0.22101420164108276
890.83,680,592,0.05,238270,350,-52.64711742,59542,0.0001,0.4322720766067505
894.58,690,596,0.05,241927,350,-52.24717906,60456,0.0001,0.24043527245521545
910.75,701,600,0.05,245435,349,-43.335059439999995,61333,0.0001,0.3034263849258423
914.64,709,604,0.05,248347,350,-41.094581420000004,62061,0.0001,0.1639464795589447
923.73,720,608,0.05,251754,349,-36.52128143,62913,0.0001,0.3611332178115845
925.93,730,612,0.05,255334,349,-34.127710400000005,63808,0.0001,0.16422885656356812
912.37,738,616,0.05,257978,349,-27.888385029999995,64469,0.0001,0.15338335931301117
901.94,746,620,0.05,260692,349,-22.942067960000003,65147,0.0001,0.13475129008293152
890.28,754,624,0.05,263526,349,-15.02781933,65856,0.0001,0.8798503875732422
872.86,760,628,0.05,265784,349,-9.334510950000002,66420,0.0001,0.38201063871383667
859.42,768,632,0.05,268440,349,-2.062476230000001,67084,0.0001,0.3793339133262634
847.59,775,636,0.05,271257,349,4.8464654099999995,67789,0.0001,0.38836634159088135
835.69,783,640,0.05,274067,350,10.334972599999999,68491,0.0001,0.7544388175010681
826.61,788,644,0.05,276369,350,15.86121804,69067,0.0001,0.23616410791873932
820.99,797,648,0.05,279044,350,19.78680853,69735,0.0001,0.15010671317577362
818.28,805,652,0.05,282069,350,20.70777621,70492,0.0001,0.2846575379371643
804.66,811,656,0.05,284707,350,28.886865979999996,71151,0.0001,0.3809792697429657
780.94,816,660,0.05,286335,350,35.87863149999999,71558,0.0001,0.19043348729610443
762.94,822,664,0.05,288535,350,43.04560160999999,72108,0.0001,1.2804551124572754
747.9,828,668,0.05,290937,350,41.37307028,72709,0.0001,0.19637031853199005
730.29,833,672,0.05,292784,351,43.43338407,73170,0.0001,0.31303656101226807
719.1,841,676,0.05,295665,351,52.492851650000006,73891,0.0001,0.9473382234573364
710.58,847,680,0.05,297898,351,54.06471165,74449,0.0001,0.18465092778205872
688.57,852,684,0.05,299697,351,54.04535222,74899,0.0001,0.4327690899372101
673.65,857,688,0.05,301635,351,62.37581759999999,75383,0.0001,0.22058354318141937
646.74,861,692,0.05,302944,351,66.99098124999999,75710,0.0001,0.41240042448043823
628.68,865,696,0.05,304795,351,72.41496577,76173,0.0001,0.4049389362335205
616.09,871,700,0.05,307044,352,74.45322757,76735,0.0001,0.7207575440406799
605.76,876,704,0.05,308923,352,77.53056425000001,77205,0.0001,0.3052271008491516
591.1,882,708,0.05,310864,352,79.75688532999999,77690,0.0001,2.58318829536438
573.26,886,712,0.05,312660,352,84.88500551999999,78139,0.0001,0.4678678512573242
569.62,893,716,0.05,314940,352,87.19227731999999,78709,0.0001,0.2760639488697052
566.21,898,720,0.05,317313,353,89.32571348000002,79303,0.0001,0.9179591536521912
551.08,901,724,0.05,318634,353,84.84164972999999,79633,0.0001,0.9610015749931335
549.0,907,728,0.05,320684,353,84.78040624999998,80145,0.0001,0.402679443359375
535.88,910,732,0.05,322028,353,85.28039827999999,80481,0.0001,1.8292564153671265
535.59,918,736,0.05,324816,353,89.20886769999997,81178,0.0001,0.356092631816864
522.29,921,740,0.05,326296,353,87.25471404,81548,0.0001,0.26700514554977417
517.9,926,744,0.05,328159,354,91.84608078000001,82014,0.0001,0.5096441507339478
513.68,932,748,0.05,330412,354,95.28066461,82577,0.0001,0.47533470392227173
511.39,939,752,0.05,333208,354,100.29240018,83276,0.0001,0.17222020030021667
510.96,947,756,0.05,335803,354,98.54180866,83925,0.0001,0.17836564779281616
523.34,955,760,0.05,338669,354,99.35459921,84642,0.0001,0.2290835678577423
517.89,959,764,0.05,340324,354,99.68294361000002,85055,0.0001,0.18668827414512634
516.75,965,768,0.05,342612,354,99.97696747,85627,0.0001,0.2859320640563965
515.95,970,772,0.05,344379,354,100.96438131000001,86069,0.0001,0.5114877223968506
508.72,977,776,0.05,346537,354,96.70608576,86609,0.0001,0.22117501497268677
508.77,983,780,0.05,348775,354,99.12314732,87168,0.0001,0.22383713722229004
516.1,991,784,0.05,351307,354,107.51317657,87801,0.0001,0.14519372582435608
