time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
352256,55,86,6373,-0.6613101467490197,0.017904501,0.1581298828125,0.9772043023258448,0.2,981.58,3.588954448699951,-0.005561517823662143,12.87820117175579,0.0002,588.9364672400001,850
356352,55,87,6450,-0.5713132238015532,0.017511118,0.1434814453125,0.9720097966492176,0.2,981.58,6.078498363494873,0.001947693909460213,13.805537490546703,0.0002,600.7117722900001,860
360448,55,88,6527,-0.4980150516144931,0.024595704,0.1207763671875,0.9518004879355431,0.2,984.02,4.457836627960205,-0.006832661332737189,15.424610821902752,0.0002,601.80027287,870
364544,55,89,6599,-0.7316982887685299,0.0128716,0.1363525390625,0.9825254548341036,0.2,984.02,3.035557746887207,-0.001070053935109172,14.04601796939969,0.0002,604.6424018600001,880
368640,55,90,6675,-0.5826986343599856,0.020866048,0.15517578125,0.9551796466112137,0.2,984.02,6.026890754699707,-0.0024424872040981426,16.46518782824278,0.0002,620.8460037899999,890
372736,55,91,6750,-0.5524596767500043,0.019135311,0.157763671875,0.8572735339403152,0.2,986.23,3.240750312805176,-0.00433949794532964,19.012836284935474,0.0002,619.29837941,900
376832,55,92,6828,-0.5411369705572724,0.032019753,0.1711669921875,0.9118204489350319,0.2,989.96,4.488741874694824,0.003149704610405024,15.370034085959196,0.0002,624.12309066,910
380928,55,93,6900,-0.5415696003474295,0.020096954,0.149169921875,0.9353329464793205,0.2,990.81,5.707681179046631,-0.002370266073558014,14.149115739762783,0.0002,637.3699252199999,920
385024,55,94,6975,-0.5319704898633063,0.024923338,0.1565185546875,0.9323009625077248,0.2,990.81,2.788533926010132,-0.007417474259273149,14.071146070957184,0.0002,645.9039008200001,930
389120,55,95,7052,-0.6225986512377858,0.019634016,0.159716796875,0.955389317125082,0.2,990.81,6.4428486824035645,0.0007807320973370225,16.107760897278787,0.0002,657.52979234,940
393216,55,96,7126,-0.5534918551333249,0.027806915,0.1613525390625,0.9475785233080387,0.2,989.16,3.9320502281188965,-0.0011720848226104863,13.765677125751973,0.0002,668.33087046,950
397312,55,97,7200,-0.545286115910858,0.025753926,0.15458984375,0.9504363127052784,0.2,991.56,5.688026428222656,0.0012152929804869928,19.653013347089292,0.0002,667.02181626,960
401408,55,98,7274,-0.5037232508882881,0.049960263,0.171875,0.963976513594389,0.2,991.56,6.818880081176758,-0.0005895971058635041,11.284424357116222,0.0002,669.4736603399999,970
