time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/entropy_loss,rollout/ep_len_mean,train/loss,train/clip_range,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/n_updates,train/clip_fraction,train/explained_variance
12740,597504,1167,46,0.03249037,-3.008221358060837,992.31,1.3556864261627197,0.2,-0.0010158677119761705,0.676007866859436,532.4193275599999,0.0002,6.611310321092605,11660,0.326953125,0.9374002739787102
12748,598016,1168,46,0.3081848,-3.008817434310913,992.31,4.880589485168457,0.2,0.1046765971230343,0.6763695478439331,532.4193275599999,0.0002,62.08861477375031,11670,0.68515625,0.7407589554786682
12756,598528,1169,46,0.053380374,-3.0106011033058167,992.31,1.6759486198425293,0.2,0.006128767225891352,0.676771342754364,530.4650701099999,0.0002,12.448788356781005,11680,0.4056640625,0.9626692906022072
12765,599040,1170,46,0.04006679,-3.009814405441284,992.31,0.3166296184062958,0.2,0.00603307131677866,0.6759562492370605,530.4650701099999,0.0002,5.480613553524018,11690,0.3322265625,0.9639969356358051
12773,599552,1171,46,0.16623797,-3.007723796367645,992.31,9.382346153259277,0.2,0.03103590230457485,0.6756342649459839,526.4866572199999,0.0002,60.25901322364807,11700,0.5099609375,0.8097372055053711
12781,600064,1172,46,0.1915453,-3.007955586910248,984.7,11.322125434875488,0.2,0.06503457585349678,0.6761785745620728,522.6970699199999,0.0002,76.18491282463074,11710,0.56640625,0.7307531833648682
12789,600576,1173,46,1.1924572,-3.0108096659183503,984.7,13.093113899230957,0.2,0.00977403239812702,0.6764861941337585,522.6970699199999,0.0002,76.36076204776764,11720,0.55703125,0.8655667454004288
12798,601088,1174,46,0.076385096,-3.0098928809165955,984.7,1.8241057395935059,0.2,0.03858100501820445,0.6751920580863953,521.5721625499999,0.0002,10.001410913467407,11730,0.4318359375,-0.47056853771209717
12807,601600,1175,46,0.22995293,-3.003569322824478,984.7,1.918014645576477,0.2,0.05599106310401112,0.6750246286392212,521.5721625499999,0.0002,21.494284451007843,11740,0.6041015625,0.9125021025538445
12816,602112,1176,46,0.13265535,-3.0059450387954714,984.7,6.818728446960449,0.2,0.06741922895889729,0.6751358509063721,525.2559963299999,0.0002,46.98277399539948,11750,0.5509765625,0.8337102830410004
12825,602624,1177,46,0.08450051,-3.0084162294864654,984.7,2.14224910736084,0.2,-0.0013484162744134664,0.6761552691459656,525.2559963299999,0.0002,9.939728081226349,11760,0.3828125,0.9463107623159885
12834,603136,1178,46,0.09621221,-3.013644015789032,984.7,2.245649576187134,0.2,0.05384462899528444,0.6770603060722351,523.1132198500001,0.0002,33.87238382101059,11770,0.535546875,0.5583716630935669
12842,603648,1179,47,0.10083101,-3.0169696390628813,984.7,2.528669595718384,0.2,0.056118149869143964,0.6774060130119324,523.1132198500001,0.0002,18.67467552423477,11780,0.5623046875,0.8465186804533005
12851,604160,1180,47,0.039193142,-3.0194581270217897,988.04,0.2489292472600937,0.2,0.017780362209305168,0.6781737208366394,523.64037464,0.0002,3.513715420663357,11790,0.3236328125,0.41227245330810547
12859,604672,1181,47,0.10162531,-3.0213567554950713,988.04,0.536657452583313,0.2,-0.010165952169336379,0.6763405203819275,519.8771797700001,0.0002,5.323349437117576,11800,0.4275390625,0.9619633220136166
12868,605184,1182,47,0.07334611,-3.014027678966522,988.04,0.8501009345054626,0.2,0.028207575250416995,0.6754144430160522,519.8771797700001,0.0002,7.971697041392327,11810,0.519140625,0.6141345202922821
12877,605696,1183,47,0.08312768,-3.012203943729401,988.04,1.0443707704544067,0.2,-0.0064902957528829575,0.6753734946250916,515.70864883,0.0002,8.308714616298676,11820,0.36953125,0.9383660815656185
12885,606208,1184,47,0.17182243,-3.012653535604477,988.04,1.9038355350494385,0.2,0.028050225623883308,0.6751770973205566,515.70864883,0.0002,15.71427241563797,11830,0.4974609375,0.7777134627103806
12893,606720,1185,47,0.13515168,-3.0109589397907257,988.04,1.56886887550354,0.2,0.05971060546580702,0.674733579158783,511.74938957000006,0.0002,16.262412238121033,11840,0.5171875,0.9067821726202965
12901,607232,1186,47,0.025888743,-3.0105659544467924,988.04,0.22010445594787598,0.2,0.0004106296924874187,0.6748578548431396,511.74938957000006,0.0002,1.8573513329029083,11850,0.3537109375,0.9727612696588039
12909,607744,1187,47,0.065952204,-3.0091521203517915,988.04,1.7375489473342896,0.2,0.021864809468388556,0.6754993796348572,509.60503280000006,0.0002,14.758231830596923,11860,0.441796875,0.948798093944788
12918,608256,1188,47,0.032466076,-3.013392698764801,988.04,0.16949062049388885,0.2,-0.0027409019181504845,0.6757313013076782,509.60503280000006,0.0002,1.2742465868592263,11870,0.230078125,0.9939562357030809
12926,608768,1189,47,0.03546164,-3.01288241147995,988.04,0.9619448781013489,0.2,0.01842397537548095,0.6762776374816895,508.03380236,0.0002,7.21686597764492,11880,0.3580078125,0.9735655728727579
12934,609280,1190,47,0.03077553,-3.013758534193039,988.04,0.2012251615524292,0.2,-0.009670634870417416,0.67657470703125,508.03380236,0.0002,1.3466491796076299,11890,0.224609375,0.995158261153847
12943,609792,1191,47,0.14038067,-3.0160059571266173,988.04,4.688922882080078,0.2,0.015060811105649918,0.676996111869812,505.67710107,0.0002,37.24108235836029,11900,0.4580078125,0.8249017298221588
12951,610304,1192,47,0.20117623,-3.0181505382061005,988.04,3.0864953994750977,0.2,0.08405029568821192,0.677353024482727,505.67710107,0.0002,38.37357796430588,11910,0.6583984375,0.8600593060255051
12959,610816,1193,47,0.04021456,-3.0203596353530884,988.04,1.0029220581054688,0.2,0.014449824276380242,0.6777543425559998,506.86683849,0.0002,7.482266470789909,11920,0.3740234375,0.9583242684602737
12967,611328,1194,47,0.12209871,-3.0226501882076264,988.04,2.395996332168579,0.2,0.030827196803875266,0.6780669093132019,506.86683849,0.0002,25.28421210050583,11930,0.568359375,0.9083541110157967
12974,611840,1195,47,0.057410188,-3.0235453844070435,988.04,0.8559507727622986,0.2,0.006897543510422111,0.6777642965316772,505.4813978799999,0.0002,7.5540645062923435,11940,0.32109375,0.9596489854156971
12982,612352,1196,47,0.039653875,-3.0219830095767977,988.04,0.27360647916793823,0.2,-0.003421627730131149,0.6782239675521851,505.4813978799999,0.0002,2.0127502903342247,11950,0.2625,0.9931167741306126
12990,612864,1197,47,0.060638405,-3.026085388660431,988.04,2.297680377960205,0.2,0.04406664199195802,0.6794919967651367,506.20443708999994,0.0002,22.308840918540955,11960,0.4623046875,0.9551355689764023
12999,613376,1198,47,0.06118524,-3.030082178115845,988.04,0.23270165920257568,0.2,-0.014729517791420222,0.67963045835495,506.20443708999994,0.0002,1.2899522989988328,11970,0.2833984375,0.9980335738509893
13007,613888,1199,47,0.2526919,-3.0312719702720643,988.04,3.7154831886291504,0.2,0.07125697135925294,0.6805280447006226,506.89066861999993,0.0002,31.832680475711822,11980,0.6458984375,0.8726581782102585
13015,614400,1200,47,0.0627304,-3.0379800498485565,988.04,1.4721295833587646,0.2,0.022538108797743917,0.6821595430374146,506.89066861999993,0.0002,9.650782549381256,11990,0.3541015625,0.9775894191116095
13024,614912,1201,47,0.13181452,-3.0442731618881225,988.04,2.1597957611083984,0.2,0.09251918429508806,0.6838576197624207,511.3178128699999,0.0002,25.74326327443123,12000,0.5353515625,0.8445251435041428
13033,615424,1202,47,0.04946667,-3.04950413107872,988.04,7.797979831695557,0.2,0.010814204765483736,0.6844967603683472,511.3178128699999,0.0002,38.29815845489502,12010,0.3830078125,0.4314170479774475
13041,615936,1203,47,0.20948067,-3.0519595444202423,988.04,6.224010467529297,0.2,0.033942291233688596,0.6847739219665527,513.8785295199999,0.0002,42.125632762908936,12020,0.5384765625,0.6889756619930267
13049,616448,1204,47,0.060137846,-3.0527122616767883,988.04,3.848280429840088,0.2,0.016311733098700643,0.6845688819885254,513.8785295199999,0.0002,13.18680921792984,12030,0.4142578125,0.9627426974475384
13058,616960,1205,47,0.0395487,-3.052815818786621,988.04,1.3511812686920166,0.2,0.00896092145703733,0.684707522392273,512.31133284,0.0002,14.911238634586335,12040,0.3626953125,0.9540990442037582
13066,617472,1206,47,0.05814968,-3.0522041738033296,988.04,0.8042355179786682,0.2,0.011647876095958054,0.683856189250946,512.31133284,0.0002,4.087948197126389,12050,0.3767578125,0.9896665019914508
13074,617984,1207,47,0.08089267,-3.051099145412445,988.04,3.3785223960876465,0.2,0.040349209867417815,0.6837170124053955,513.8883071099999,0.0002,14.152344918251037,12060,0.3783203125,0.9795843083411455
13082,618496,1208,47,0.04667167,-3.050696039199829,988.04,0.9153811931610107,0.2,0.01068054388742894,0.6828221082687378,513.8883071099999,0.0002,4.372099965810776,12070,0.30234375,0.9937539310194552
13090,619008,1209,47,0.07480187,-3.0446832954883574,988.04,1.4074193239212036,0.2,0.0056864118436351415,0.6813243627548218,513.60594416,0.0002,8.009241166710854,12080,0.447265625,0.9893186362460256
