time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
352,71680,35,203,469.73,469.73,-0.0016229562053922564,0.0002121395373251289,0.2,-0.028165221214294434,340,0.0003,-0.45681531447917223,0.0005440314279098856,0.0046918374,0.048779296875
350,73728,36,210,481.64,481.64,-0.002498366215149872,0.010029529221355915,0.2,-0.01435399055480957,350,0.0003,-0.4573549941182137,0.00037795657831338756,0.005509142,0.0626953125
349,75776,37,216,488.21,488.21,-0.003596886555897072,-0.007159869186580181,0.2,-0.07153916358947754,360,0.0003,-0.4513396116904914,0.0002949573261048499,0.00665229,0.079736328125
347,77824,38,223,494.02,494.02,-0.0015980920332367532,0.011319410987198353,0.2,-0.05628609657287598,370,0.0003,-0.4521024312824011,0.00020973603911613736,0.005993141,0.041015625
346,79872,39,230,499.33,499.33,-0.003396707007777877,0.007964295335114002,0.2,-0.05880403518676758,380,0.0003,-0.44850953165441754,0.00014616500851332147,0.006918935,0.089208984375
345,81920,40,237,499.33,499.33,-0.0025924021378159524,0.009674045257270336,0.2,-0.23622667789459229,390,0.0003,-0.4567334523424506,0.00010678445393921265,0.004271066,0.04931640625
345,83968,41,243,499.33,499.33,-0.000319532208959572,0.004089787602424622,0.2,-0.09174680709838867,400,0.0003,-0.44468582812696694,7.206136442334809e-05,0.0014023928,0.01240234375
345,86016,42,248,500.0,500.0,-0.0017347788671031594,0.006922356318682432,0.2,-0.1801389455795288,410,0.0003,-0.426669969689101,5.0429138428853546e-05,0.002568014,0.023779296875
345,88064,43,255,500.0,500.0,-0.003655461248126812,0.0014649711083620787,0.2,-0.05402541160583496,420,0.0003,-0.4001251979731023,3.8142805797747316e-05,0.005844671,0.053515625
345,90112,44,260,500.0,500.0,-0.0027643301436910406,0.007144068833440542,0.2,-0.016312241554260254,430,0.0003,-0.39735776763409375,2.3953808738497174e-05,0.0050323266,0.0544921875
345,92160,45,266,500.0,500.0,-0.006274463672889396,0.02327836863696575,0.2,-0.22197949886322021,440,0.0003,-0.3988387299701571,1.9115982647122108e-05,0.006168265,0.115380859375
345,94208,46,272,500.0,500.0,-0.003237940350663848,0.0010217042872682214,0.2,-0.017487168312072754,450,0.0003,-0.40421504620462656,1.1242089684060375e-05,0.0047464184,0.046142578125
345,96256,47,278,500.0,500.0,-0.0009082275835680775,-0.0023338801693171263,0.2,-0.41848015785217285,460,0.0003,-0.4072402981109917,1.0351248957363168e-05,0.004317452,0.03955078125
345,98304,48,284,500.0,500.0,-0.0002953338946099393,0.0006919933948665857,0.2,-0.5916193723678589,470,0.0003,-0.398963460419327,9.463054951197591e-06,0.0014392025,0.018701171875
345,100352,49,290,500.0,500.0,-0.0007893806498032064,-0.0051414635963737965,0.2,-0.38493382930755615,480,0.0003,-0.3745167637243867,5.4277022314863645e-06,0.0011651972,0.01982421875
345,102400,50,295,500.0,500.0,-0.0013157075736671686,-0.0023021381348371506,0.2,-0.7961921691894531,490,0.0003,-0.35016310550272467,4.273095311191355e-06,0.0018973437,0.021923828125
346,104448,51,301,500.0,500.0,-0.001885689042683225,-0.011966181918978691,0.2,-0.849555253982544,500,0.0003,-0.35688692042604087,2.5875511170170284e-06,0.0023400427,0.02314453125
346,106496,52,307,500.0,500.0,-0.0022750656979042107,0.0018274453468620777,0.2,-1.144129753112793,510,0.0003,-0.32396954535506667,3.4283735516282833e-06,0.0028545205,0.022705078125
346,108544,53,313,500.0,500.0,-0.0012394845660310238,-0.005407130811363459,0.2,-0.9985792636871338,520,0.0003,-0.33630885276943445,1.9421045294620855e-06,0.0039389613,0.053662109375
346,110592,54,318,500.0,500.0,-0.0008289072895422578,-0.002738791285082698,0.2,-0.7015856504440308,530,0.0003,-0.33398480899631977,1.6178729680405013e-06,0.0037148949,0.019921875
346,112640,55,324,500.0,500.0,-0.0018891653031460009,-0.002654770854860544,0.2,-1.4579598903656006,540,0.0003,-0.3070076400414109,1.0716282559997125e-06,0.0037912617,0.03310546875
346,114688,56,330,500.0,500.0,-0.0007510625146096572,0.0010382274631410837,0.2,-1.38334321975708,550,0.0003,-0.2867871139664203,1.2849607631437721e-05,0.0018017227,0.019677734375
345,116736,57,337,500.0,500.0,-0.001338297086476814,-0.00019079116464126855,0.2,-1.4450268745422363,560,0.0003,-0.27984682405367495,2.475240603416751e-06,0.0022985996,0.024365234375
345,118784,58,343,500.0,500.0,-0.0011468265642179177,0.00888581108301878,0.2,-2.173975944519043,570,0.0003,-0.2729010468348861,6.18743968061608e-07,0.00097109226,0.02255859375
345,120832,59,349,500.0,500.0,-0.0009556907112710178,-0.0036893996875733137,0.2,-3.0548877716064453,580,0.0003,-0.2581842117011547,7.206364102785301e-07,0.0009417973,0.027587890625
345,122880,60,356,500.0,500.0,-0.0004575011655106209,-0.010920091532170773,0.2,-1.5477418899536133,590,0.0003,-0.2648435869719833,8.528889480885482e-07,0.0014989179,0.0189453125
344,124928,61,362,500.0,500.0,0.00013083777885185554,-0.012848214246332645,0.2,-1.9677565097808838,600,0.0003,-0.2614644666668028,5.348574063646083e-07,0.0018726822,0.01904296875
345,126976,62,367,500.0,500.0,-0.0007520975748775526,0.004534137435257435,0.2,-0.9988276958465576,610,0.0003,-0.2536508845631033,6.810121615785647e-06,0.0023644555,0.020556640625
345,129024,63,373,500.0,500.0,0.00039529774512629955,-0.0055294344201684,0.2,-1.5361945629119873,620,0.0003,-0.2688072621356696,9.67321719258507e-07,0.0025689374,0.016650390625
345,131072,64,379,500.0,500.0,-0.001170018970151432,-0.012587642297148705,0.2,-3.2079381942749023,630,0.0003,-0.26141970246098933,1.3766137499260366e-06,0.0016077276,0.039501953125
346,133120,65,384,500.0,500.0,0.0002000142732867971,-0.0004741527955047786,0.2,-3.3890223503112793,640,0.0003,-0.2568307064473629,1.4526065342579385e-06,0.00040558534,0.025048828125
347,135168,66,389,500.0,500.0,0.0001024881232297048,-0.0061643351800739765,0.2,-1.1991102695465088,650,0.0003,-0.2739382966887206,2.8153155767540738e-06,0.0025576502,0.02421875
