time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range
280,197.45481256,1940,266,544768,998.4,2650,0.3766958713531494,-0.009132493188371883,0.3623213469982147,-1.5621799532324077,0.28505859375,1.2739676237106323,0.0003,5.033479630574584,0.02817434,0.2
280,197.50384076999995,1948,267,546816,997.49,2660,0.9344180524349213,-0.009033854459994472,0.3616987466812134,-1.5857131842523813,0.186083984375,0.9424671530723572,0.0003,8.793265854939818,0.012908675,0.2
280,197.59248474000003,1955,268,548864,995.66,2670,0.2706764340400696,-0.007049309664580505,0.3558521568775177,-1.5500835597515106,0.25498046875,0.3550972640514374,0.0003,2.4748916956130413,0.019188534,0.2
280,193.82999378,1963,269,550912,984.04,2680,0.1946696639060974,-0.004344248428242281,0.35764408111572266,-1.5290339328348637,0.2771484375,1.130664587020874,0.0003,4.662625027541071,0.028617743,0.2
280,193.87463691000002,1972,270,552960,982.97,2690,0.9413723573088646,-0.006062231658142991,0.35676270723342896,-1.5355498254299165,0.16962890625,1.4924427270889282,0.0003,8.61349103488028,0.012938617,0.2
280,193.97425800000002,1980,271,555008,981.53,2700,0.28097808361053467,-0.006957744814280886,0.3546870946884155,-1.5217471800744533,0.267724609375,0.09493954479694366,0.0003,2.4009819254279137,0.022508908,0.2
280,198.54963292,1986,272,557056,994.95,2710,0.3155490756034851,-0.004458841148880311,0.3570179343223572,-1.5204085044562816,0.251123046875,2.184150457382202,0.0003,5.001517205499113,0.020696519,0.2
280,202.5798317,1992,273,559104,1005.84,2720,0.9136926606297493,-0.007417831980274059,0.3558686375617981,-1.5267665907740593,0.159521484375,4.779824256896973,0.0003,11.16199064925313,0.0124419,0.2
280,200.06049134999998,1998,274,561152,998.86,2730,0.3946412205696106,-0.006484573087072931,0.35328835248947144,-1.5050470307469368,0.277001953125,0.382724791765213,0.0003,2.6089123531244693,0.019470606,0.2
280,206.62891785,2004,275,563200,1012.55,2740,0.9401251561939716,-0.011186757465475239,0.35319337248802185,-1.4896864421665668,0.102587890625,4.28312349319458,0.0003,17.811003167182207,0.011560412,0.2
280,208.81477407000003,2012,276,565248,1016.38,2750,0.3240598440170288,-0.006780931109096855,0.3569369614124298,-1.510934578999877,0.283154296875,2.9243762493133545,0.0003,4.974039730615914,0.023064796,0.2
280,216.23732876000003,2019,277,567296,1035.31,2760,0.9557784199714661,-0.004298315042979084,0.3563237190246582,-1.5256537973880768,0.1759765625,1.992984652519226,0.0003,8.106311827339232,0.014833028,0.2
280,219.87168269999998,2027,278,569344,1044.65,2770,-0.07554268836975098,-0.004513579071499407,0.3558664917945862,-1.5159967146813869,0.26943359375,1.3991334438323975,0.0003,5.371045836992562,0.024647247,0.2
280,219.42314439999998,2035,279,571392,1040.5,2780,0.42105257511138916,-0.009003062619012781,0.35896873474121094,-1.5374105740338564,0.24609375,3.8095364570617676,0.0003,6.347249095700681,0.02226482,0.2
280,218.18074021999996,2043,280,573440,1038.07,2790,0.9664710909128189,-0.00787188087706454,0.35919034481048584,-1.5505842819809914,0.250390625,1.1490181684494019,0.0003,8.506378917768597,0.02670369,0.2
280,218.18466514,2051,281,575488,1037.93,2800,0.7573211342096329,-0.0107848213869147,0.358792245388031,-1.5512341842055322,0.2123046875,2.528752326965332,0.0003,14.011766091175378,0.016895005,0.2
280,218.22476029999999,2059,282,577536,1037.0,2810,-0.4123690128326416,-0.0035454953322187066,0.35682734847068787,-1.534370318800211,0.26923828125,0.27997884154319763,0.0003,3.6131802583113313,0.024191398,0.2
280,218.29831357999998,2066,283,579584,1036.08,2820,0.2184656262397766,-0.0034717823000391945,0.3582093119621277,-1.5358471613377334,0.334912109375,3.5687849521636963,0.0003,5.021518290881067,0.037754584,0.2
280,219.65639877,2074,284,581632,1035.99,2830,0.2181241512298584,-0.0058688250894192604,0.3592061400413513,-1.5493050035089255,0.2908203125,0.7904015779495239,0.0003,4.814095834922045,0.033441566,0.2
280,219.31552724000002,2080,285,583680,1035.01,2840,0.29846447706222534,-0.005511356293573045,0.3618151545524597,-1.560045723989606,0.261328125,0.6565945148468018,0.0003,4.617134382575751,0.021514006,0.2
280,223.28656845,2086,286,585728,1044.5,2850,0.959347628057003,-0.009501174491015263,0.36129337549209595,-1.5766157556325198,0.174658203125,0.24491828680038452,0.0003,6.287117537297308,0.015249779,0.2
280,223.25604090000002,2092,287,587776,1044.82,2860,0.19791829586029053,-0.005000708017905709,0.35981130599975586,-1.5633730236440897,0.198974609375,0.49370861053466797,0.0003,9.134173471294343,0.018370975,0.2
281,223.30785255000004,2098,288,589824,1043.76,2870,0.21875804662704468,-0.006663250873680226,0.35797232389450073,-1.544691188633442,0.2734375,1.1971629858016968,0.0003,4.909554787818342,0.020639747,0.2
280,223.30737253000004,2106,289,591872,1043.69,2880,0.24686580896377563,-0.009307839200482703,0.36230379343032837,-1.5670416567474603,0.294140625,0.1798439919948578,0.0003,4.938046555221081,0.024171356,0.2
280,223.33915024,2114,290,593920,1043.08,2890,0.22022390365600586,-0.006119945508544333,0.360512375831604,-1.580201667174697,0.27412109375,0.2207748144865036,0.0003,2.588477089535445,0.020182014,0.2
280,225.42306628999995,2122,291,595968,1046.19,2900,0.2608513832092285,-0.010764882853254675,0.35937872529029846,-1.5630416061729193,0.23759765625,4.003540515899658,0.0003,4.516745793633163,0.017970812,0.2
