rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/loss,time/total_timesteps,rollout/exploration_rate,train/learning_rate,time/episodes,train/n_updates,time/fps
-78.15928062,5784,1000.0,0.09929067641496658,275719,0.02,0.001,276,68904,47
-78.61968956999999,5866,1000.0,0.0006758737144991755,279719,0.02,0.001,280,69904,47
-79.03445309,5947,1000.0,0.06507057696580887,283719,0.02,0.001,284,70904,47
-79.02088989,6030,1000.0,0.06986917555332184,287719,0.02,0.001,288,71904,47
-79.42831577999999,6107,1000.0,0.0008090241462923586,291719,0.02,0.001,292,72904,47
-79.56460829999997,6187,1000.0,0.0028874322306364775,295719,0.02,0.001,296,73904,47
-80.07977283,6268,1000.0,0.0005734166479669511,299719,0.02,0.001,300,74904,47
-81.05001079,6349,1000.0,0.020277298986911774,303719,0.02,0.001,304,75904,47
-82.20319969,6412,992.35,0.0028120880015194416,306954,0.02,0.001,308,76713,47
-82.25496354,6494,992.35,0.0021205805242061615,310954,0.02,0.001,312,77713,47
-82.41592022,6573,992.35,0.002530964557081461,314954,0.02,0.001,316,78713,47
-81.99352968,6657,992.35,0.0070541370660066605,318954,0.02,0.001,320,79713,47
-81.60453828,6739,992.35,0.0005390441510826349,322954,0.02,0.001,324,80713,47
-81.61220173000001,6823,992.35,0.00018775087664835155,326954,0.02,0.001,328,81713,47
-81.41797489,6907,992.35,0.04890936613082886,330954,0.02,0.001,332,82713,47
-80.77974368,6988,992.35,0.0018469913629814982,334954,0.02,0.001,336,83713,47
-78.96582190999999,7069,992.35,0.020793665200471878,338954,0.02,0.001,340,84713,47
-78.53311129,7148,992.35,0.002024986082687974,342954,0.02,0.001,344,85713,47
-78.38404211,7231,992.35,0.0018049690406769514,346954,0.02,0.001,348,86713,47
-78.40896078,7314,992.35,0.003536178730428219,350954,0.02,0.001,352,87713,47
-78.52609111000001,7392,992.35,0.0014405976980924606,354954,0.02,0.001,356,88713,48
-77.96899176,7474,992.35,0.015957647934556007,358954,0.02,0.001,360,89713,48
-77.02484691000001,7558,992.35,0.04774950444698334,362954,0.02,0.001,364,90713,48
-76.32451979000001,7638,992.35,0.0010407716035842896,366954,0.02,0.001,368,91713,48
-75.63374529999999,7720,992.35,0.0032766463700681925,370954,0.02,0.001,372,92713,48
