time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss
290816,6720,-47.848686040000004,142,43,895.42,-0.002749645194853656,1410,0.0002,0.006192567,0.2,0.6719949245452881,2.8391926660202444,0.067236328125,0.4081067442893982,-3.0354332126677037,0.3000418543815613
292864,6764,-48.63918042,143,43,895.42,-0.004040455949143507,1420,0.0002,0.005363443,0.2,0.6716606020927429,5.772423865832389,0.05478515625,0.7294054627418518,-3.0353911511600016,1.622687816619873
294912,6808,-49.53758382,144,43,897.17,-0.00133379174512811,1430,0.0002,0.0033179396,0.2,0.6697986125946045,8.341440053284169,0.042626953125,0.8729353696107864,-3.0320830084383488,0.8645027875900269
296960,6851,-49.86517648000001,145,43,895.47,-0.002825036519789137,1440,0.0002,0.0061856564,0.2,0.6704089045524597,19.62853534370661,0.05498046875,0.7859146147966385,-3.0276442632079124,4.671730041503906
299008,6895,-48.74702216000001,146,43,899.05,-0.0010270386177580805,1450,0.0002,0.010359423,0.2,0.6704131960868835,29.214305740594863,0.0587890625,0.8389106094837189,-3.0294221714138985,16.614072799682617
301056,6940,-47.543413490000006,147,43,899.05,-0.0019862348010065032,1460,0.0002,0.009084045,0.2,0.6709882020950317,6.861284639686346,0.0505859375,0.7057610750198364,-3.0308398947119715,0.4476201832294464
303104,6983,-48.2693372,148,43,898.16,-0.0016408690251410007,1470,0.0002,0.0059732143,0.2,0.6704699397087097,8.941344770044088,0.033740234375,0.7476288080215454,-3.031370399147272,5.306370258331299
305152,7026,-48.82940153,149,43,894.82,-0.004488086543278769,1480,0.0002,0.0042508496,0.2,0.6693577766418457,11.208794164657593,0.066162109375,0.8482075929641724,-3.028026854991913,4.462228298187256
307200,7073,-49.596991870000004,150,43,901.38,-0.0011519480351125822,1490,0.0002,0.004757841,0.2,0.6684727668762207,12.306900437548757,0.054150390625,0.8553944826126099,-3.0219150096178056,2.078937292098999
309248,7119,-49.271886179999996,151,43,901.38,-0.0005282759680994787,1500,0.0002,0.0043269293,0.2,0.6747294664382935,1.4183105300180614,0.079833984375,0.6772516071796417,-3.038555263727903,0.5894759893417358
311296,7165,-49.55036570999999,152,43,901.38,-0.0017220384994288906,1510,0.0002,0.0035072565,0.2,0.6768891215324402,5.74780151322484,0.018017578125,0.6992876827716827,-3.057406038045883,1.51139235496521
313344,7208,-48.20246797000001,153,43,901.38,-0.0014888257632264868,1520,0.0002,0.006722309,0.2,0.6717049479484558,2.520740529708564,0.038037109375,0.7714952379465103,-3.054755711555481,0.9531070590019226
315392,7252,-49.49857104000001,154,43,901.38,-0.004807552971760743,1530,0.0002,0.005841151,0.2,0.67039954662323,6.619190175831318,0.06201171875,0.6894822120666504,-3.036919125169516,0.9199841022491455
317440,7295,-47.35628780000001,155,43,901.38,-0.0011641177057754248,1540,0.0002,0.004444995,0.2,0.6722227931022644,4.390680070966482,0.045947265625,0.3663005232810974,-3.0394920758903026,1.6131395101547241
319488,7342,-47.38807424000001,156,43,894.13,-0.0013970198313472792,1550,0.0002,0.006679022,0.2,0.6707489490509033,7.782070744782686,0.06025390625,0.7091480493545532,-3.037246999889612,2.1515209674835205
321536,7386,-46.953177049999994,157,43,898.23,-0.0028016782758641056,1560,0.0002,0.004487251,0.2,0.6665763854980469,13.063093089312314,0.037841796875,0.89217309653759,-3.0237228527665136,6.693605899810791
323584,7430,-47.46282076000001,158,43,897.78,-0.00022062834323151038,1570,0.0002,0.0026502823,0.2,0.665818452835083,15.191125237569214,0.0169921875,0.8583680838346481,-3.0110331408679487,1.552096962928772
325632,7473,-48.29063934,159,43,886.96,-0.0007841241458663717,1580,0.0002,0.0039288295,0.2,0.665244460105896,35.935364708304405,0.023291015625,0.6590659320354462,-3.0104553148150446,17.899490356445312
327680,7516,-50.24257109999999,160,43,883.54,-0.0022076193097746,1590,0.0002,0.0068351533,0.2,0.6647353172302246,36.27363793551922,0.028173828125,0.8185575753450394,-3.0059136785566807,13.843689918518066
329728,7560,-52.93314286,161,43,875.97,-0.004548168124165386,1600,0.0002,0.007572352,0.2,0.665064811706543,48.12362929284573,0.077001953125,0.7105573117733002,-3.0055157266557218,8.795519828796387
331776,7606,-52.98059248,162,43,883.59,-0.006483882505563088,1610,0.0002,0.0040041506,0.2,0.6635661721229553,18.84164958074689,0.056298828125,0.8717623949050903,-3.0034779094159605,3.4187960624694824
333824,7651,-53.807515089999995,163,43,883.1,-0.0011748386721592396,1620,0.0002,0.0075215837,0.2,0.6653392314910889,11.397667478770018,0.068359375,0.4729738235473633,-3.001782464236021,2.377190113067627
335872,7694,-54.80823345000001,164,43,878.86,-0.0015615743584930896,1630,0.0002,0.008659742,0.2,0.6652367115020752,9.500060150027275,0.08076171875,0.8070676326751709,-3.00284428820014,1.8248721361160278
337920,7744,-55.58502023,165,43,877.06,-0.0008672484618728049,1640,0.0002,0.0041405773,0.2,0.6619256734848022,7.117465817928315,0.10791015625,0.7222925424575806,-2.994341114908457,2.4640750885009766
339968,7784,-56.593994669999994,166,43,866.59,-0.0025930240080924705,1650,0.0002,0.0071689948,0.2,0.6560679078102112,9.308047988265752,0.07802734375,0.879895806312561,-2.975621638447046,2.821563482284546
342016,7827,-56.92397579999999,167,43,861.83,-0.002265157309011556,1660,0.0002,0.0028844113,0.2,0.6583666801452637,26.55715135037899,0.044580078125,0.9068761989474297,-2.965513475984335,9.635668754577637
344064,7874,-56.809134480000004,168,43,854.31,-0.0011247076734434813,1670,0.0002,0.0043097553,0.2,0.6596140265464783,27.037966349720953,0.02939453125,0.8087606430053711,-2.974308009445667,6.0154709815979
346112,7920,-55.79399726999999,169,43,851.09,-0.003947216537198983,1680,0.0002,0.00906067,0.2,0.660017728805542,15.048470546305179,0.06806640625,0.9213319197297096,-2.9802376568317412,6.709084510803223
348160,7964,-56.067280600000004,170,43,850.79,-0.000610073292045854,1690,0.0002,0.0039461935,0.2,0.6617553234100342,12.052331651002168,0.052783203125,0.9098400697112083,-2.982124750316143,4.4174275398254395
350208,8009,-57.19422895,171,43,858.8,-0.0006475096379290335,1700,0.0002,0.008086175,0.2,0.66730135679245,10.499696201458573,0.06806640625,0.8410231173038483,-3.0027090921998023,3.6708850860595703
352256,8055,-56.5378968,172,43,848.13,-0.0008513301552738994,1710,0.0002,0.0054515405,0.2,0.6696392893791199,17.486028115451337,0.039453125,0.8957505151629448,-3.0184674888849257,2.869241237640381
354304,8100,-54.69374235,173,43,848.13,-0.0021387979970313607,1720,0.0002,0.0051096124,0.2,0.6713156700134277,30.28679254055023,0.047802734375,0.8827699795365334,-3.0260327860713003,4.4024786949157715
356352,8146,-53.82446043,174,43,848.13,-0.001079907373059541,1730,0.0002,0.007713439,0.2,0.6673895120620728,23.157601416110992,0.03798828125,0.6519741415977478,-3.0200517266988753,13.440543174743652
358400,8189,-53.38389216,175,43,843.83,-0.0016535751929040998,1740,0.0002,0.00817305,0.2,0.6651009917259216,12.253834792971611,0.04638671875,0.616744875907898,-3.003449995815754,2.8014981746673584
360448,8238,-52.49781851000001,176,43,848.44,-0.00261341753648594,1750,0.0002,0.009521039,0.2,0.6592676043510437,17.559692880138755,0.06787109375,0.9027203246951103,-2.985520586371422,5.9928412437438965
362496,8284,-52.246320260000005,177,43,847.93,-0.0009544253422063776,1760,0.0002,0.0034862864,0.2,0.6569020748138428,21.874526982754467,0.0423828125,0.8434741348028183,-2.967327640205622,10.477081298828125
364544,8327,-52.52297606,178,43,854.64,-0.004989711666712538,1770,0.0002,0.0069813225,0.2,0.6522516012191772,10.59398592747748,0.09951171875,0.8820426017045975,-2.9468803688883782,1.4440836906433105
366592,8370,-52.52097786,179,43,854.64,-0.0009786665134015494,1780,0.0002,0.011916395,0.2,0.6528000235557556,31.810893211513758,0.090283203125,0.8717300891876221,-2.9346188984811308,25.691255569458008
368640,8418,-53.101916409999994,180,43,860.24,0.0003533610390149988,1790,0.0002,0.0125925,0.2,0.6559599041938782,28.90531114861369,0.052392578125,0.2653338313102722,-2.9396702378988264,15.115950584411621
370688,8462,-50.75412803000001,181,43,868.35,-0.003050305548822507,1800,0.0002,0.0047330717,0.2,0.6548117995262146,6.94505570307374,0.0888671875,0.910733200609684,-2.9423082895576953,3.7627832889556885
372736,8504,-50.85381123,182,43,866.31,-0.002838863262149971,1810,0.0002,0.0056271674,0.2,0.6547024250030518,20.114131785929203,0.038427734375,0.6235551834106445,-2.9402020305395125,8.002120018005371
374784,8551,-50.686136969999986,183,43,866.31,0.0007244759486638941,1820,0.0002,0.004951432,0.2,0.6524359583854675,14.329160513170063,0.05244140625,0.823797196149826,-2.9347821578383444,6.847998142242432
376832,8595,-51.786525739999995,184,43,851.82,-0.0036129345404333434,1830,0.0002,0.005380784,0.2,0.6539676785469055,10.874482140690088,0.04853515625,0.4275504946708679,-2.9341496989130973,9.84280014038086
