train/n_updates,train/policy_loss,train/value_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/learning_rate,time/fps,train/explained_variance,train/entropy_loss
7899,-6.247236728668213,51.538597106933594,39500,12,-74.28488315999999,7900,272.96,0.0007,3215,0.07521748542785645,-0.8700054287910461
7999,0.004188592545688152,0.40083831548690796,40000,12,-70.57044571,8000,274.95,0.0007,3214,-0.009724020957946777,-0.06817804276943207
8099,0.8329704999923706,3.2865986824035645,40500,12,-69.93147581,8100,276.95,0.0007,3213,0.833180621266365,-0.4518074095249176
8199,1.9677261114120483,11.596327781677246,41000,12,-68.26016857999998,8200,276.35,0.0007,3213,-0.8986191749572754,-0.6302211880683899
8299,-3.7699027061462402,28.58047866821289,41500,12,-69.52803524999999,8300,275.59,0.0007,3214,-2.420635461807251,-0.5195372700691223
8399,-0.00013994050095789135,6.105705261230469,42000,13,-66.56995642,8400,270.3,0.0007,3212,0.16344034671783447,-0.0021221700590103865
8499,4.040664196014404,1564.634521484375,42500,13,-67.4354378,8500,270.21,0.0007,3211,0.8794490024447441,-0.18504293262958527
8599,-0.1360320895910263,21.87515640258789,43000,13,-59.767774059999994,8600,272.44,0.0007,3211,0.5555842518806458,-0.171341210603714
8699,-0.22002466022968292,61.45471954345703,43500,13,-63.395880229999996,8700,264.93,0.0007,3211,-2.5345752239227295,-0.166439026594162
8799,6.024632930755615,115.4334487915039,44000,13,-67.89807703999999,8800,262.86,0.0007,3211,0.35626357793807983,-0.6017633676528931
8899,0.13205914199352264,15.01282024383545,44500,13,-68.97899238999999,8900,263.0,0.0007,3212,-0.10549604892730713,-0.3638671040534973
8999,-0.17600855231285095,0.280735045671463,45000,14,-66.85265857,9000,264.22,0.0007,3213,0.9943996272049844,-0.4927073121070862
9099,0.628759503364563,2.255843162536621,45500,14,-69.94649541999999,9100,260.91,0.0007,3213,0.3353691101074219,-0.7805951833724976
9199,-0.7941061854362488,2.8085014820098877,46000,14,-64.81067647999998,9200,263.7,0.0007,3213,0.9464387558400631,-0.6325370669364929
9299,0.8468098640441895,2.491358995437622,46500,14,-61.837795019999994,9300,262.83,0.0007,3213,-2.3241467475891113,-0.6711492538452148
9399,1.611471176147461,4.806631565093994,47000,14,-63.83971739999999,9400,263.33,0.0007,3214,-2.663606882095337,-0.6735682487487793
9499,-0.11091039329767227,1.0264301300048828,47500,14,-61.67466764999999,9500,268.6,0.0007,3214,0.522938996553421,-0.28627896308898926
9599,-6.008108615875244,89.84295654296875,48000,14,-66.11792865,9600,263.22,0.0007,3214,0.9908386673778296,-0.6454230546951294
9699,2.6354901790618896,29.662921905517578,48500,15,-61.05130548,9700,260.73,0.0007,3214,0.20719897747039795,-0.7323291897773743
9799,1.880893349647522,13.990168571472168,49000,15,-57.50605162000001,9800,256.81,0.0007,3215,-0.11318492889404297,-0.7728173136711121
9899,-0.3984970450401306,3.516357898712158,49500,15,-54.22471157000001,9900,259.41,0.0007,3214,0.6247029900550842,-0.621353030204773
9999,0.023089086636900902,4.355052471160889,50000,15,-52.08749314,10000,258.21,0.0007,3214,0.8483708053827286,-0.0732705295085907
10099,0.05591665953397751,1.1796272993087769,50500,15,-54.280430570000014,10100,257.67,0.0007,3215,0.9850375913083553,-0.22465798258781433
10199,3.254777431488037,22.74506187438965,51000,15,-53.32314251000002,10200,255.88,0.0007,3215,-0.05513560771942139,-0.7030103206634521
10299,-0.6894480586051941,6.457365989685059,51500,16,-51.56844722000001,10300,255.4,0.0007,3215,0.6989968717098236,-0.6442632079124451
10399,-0.9891895055770874,2.3522989749908447,52000,16,-43.0263226,10400,256.94,0.0007,3215,0.8628564476966858,-0.8774034380912781
10499,0.0016448774840682745,210.93258666992188,52500,16,-38.56247422000001,10500,257.05,0.0007,3216,-16.368244171142578,-0.0011139677371829748
10599,-0.036149077117443085,18.20572853088379,53000,16,-36.462142039999996,10600,253.2,0.0007,3216,-0.14355981349945068,-0.04557318985462189
10699,-1.8392833471298218,6.243533134460449,53500,16,-31.856227060000002,10700,253.48,0.0007,3216,0.3353763222694397,-0.5056419372558594
10799,-0.21542242169380188,0.5177620053291321,54000,16,-29.149163419999994,10800,251.4,0.0007,3216,0.8234863430261612,-0.40973979234695435
10899,-1.1287921667099,21.084089279174805,54500,16,-29.290422459999995,10900,251.3,0.0007,3216,0.5417307913303375,-0.5894366502761841
10999,0.2753945291042328,0.9053561091423035,55000,17,-29.26259867,11000,248.92,0.0007,3216,0.9120843410491943,-0.5894900560379028
11099,-3.936293125152588,74.75694274902344,55500,17,-28.21809261,11100,247.41,0.0007,3217,-4.023861885070801,-0.820452868938446
11199,-23.708389282226562,377.69732666015625,56000,17,-28.62493125,11200,248.13,0.0007,3217,-0.5251243114471436,-0.5797330141067505
11299,-0.5231527090072632,0.14535455405712128,56500,17,-23.15298571,11300,251.9,0.0007,3217,0.9295316934585571,-0.8082842826843262
11399,-1.981168508529663,2.678410530090332,57000,17,-19.128541509999998,11400,253.26,0.0007,3217,0.9540072530508041,-0.6240224242210388
11499,0.6313777565956116,2.507521390914917,57500,17,-14.438356089999996,11500,251.67,0.0007,3218,0.8334436416625977,-0.6901432871818542
11599,0.9487579464912415,12.3707275390625,58000,18,-9.298674719999998,11600,253.34,0.0007,3217,0.3965572714805603,-0.564702570438385
11699,1.645723581314087,498.7501525878906,58500,18,-7.581786520000006,11700,246.84,0.0007,3216,-2.4850375652313232,-0.30179938673973083
11799,-0.45133867859840393,23.17276382446289,59000,18,-5.402080070000006,11800,242.19,0.0007,3216,0.799403190612793,-0.48862147331237793
11899,-0.4140498638153076,0.4145428538322449,59500,18,-2.75678044,11900,240.95,0.0007,3216,0.9907523123547435,-1.0213332176208496
11999,-0.6371517181396484,0.6559773087501526,60000,18,0.5113369200000002,12000,240.18,0.0007,3216,0.9289600998163223,-0.959356963634491
12099,-1.5517995357513428,33.765953063964844,60500,18,3.692270099999995,12100,238.2,0.0007,3216,-125.27743530273438,-0.8579347729682922
12199,-0.23725366592407227,0.7485381960868835,61000,18,7.006768940000001,12200,237.48,0.0007,3215,0.7413666546344757,-0.23822923004627228
12299,-3.0151894092559814,7.969776153564453,61500,19,5.972026990000002,12300,237.08,0.0007,3216,0.421546995639801,-0.7241016626358032
12399,3.4978554248809814,74.48753356933594,62000,19,3.1679188400000005,12400,235.14,0.0007,3216,-0.3012969493865967,-0.5611957311630249
12499,11.641098976135254,2170.442626953125,62500,19,9.03551829,12500,230.84,0.0007,3216,0.09083211421966553,-0.22640319168567657
12599,-8.174379348754883,123.94804382324219,63000,19,9.153289059999999,12600,230.74,0.0007,3216,-2.567915201187134,-0.5827918648719788
12699,1.5268768072128296,4.295723915100098,63500,19,9.20260714,12700,228.2,0.0007,3217,0.8087047934532166,-0.6786002516746521
12799,-9.197437286376953,143.42385864257812,64000,19,10.43288352,12800,228.79,0.0007,3218,0.035547077655792236,-0.9998918771743774
12899,1.6200735569000244,3.61299204826355,64500,20,10.10964169,12900,225.27,0.0007,3217,0.4389466643333435,-1.0802146196365356
12999,0.13553552329540253,0.13142606616020203,65000,20,9.145046439999998,13000,222.73,0.0007,3218,0.9628105536103249,-1.0677133798599243
13099,-23.87578773498535,390.0160827636719,65500,20,7.65356418,13100,219.95,0.0007,3218,0.6838778555393219,-1.173783302307129
13199,0.6814452409744263,1.9692270755767822,66000,20,9.906332349999996,13200,217.25,0.0007,3218,0.873643159866333,-0.4863668382167816
13299,1.2220990657806396,1.612242341041565,66500,20,9.52406431,13300,213.87,0.0007,3218,0.8484836220741272,-1.3049062490463257
13399,0.38602185249328613,1.2127437591552734,67000,20,8.898423639999997,13400,207.22,0.0007,3218,0.6570583879947662,-0.5574615597724915
13499,-3.3898212909698486,6.380070686340332,67500,20,7.66639293,13500,199.63,0.0007,3218,0.7986584901809692,-0.7487674951553345
13599,-0.18984894454479218,0.31220394372940063,68000,21,4.93334435,13600,194.0,0.0007,3219,0.8629270046949387,-1.1456760168075562
13699,-5.588776588439941,14.073864936828613,68500,21,0.16345337000000001,13700,191.76,0.0007,3219,0.45775270462036133,-0.6699521541595459
13799,1.9624826908111572,5.38037109375,69000,21,-0.16945353000000019,13800,191.57,0.0007,3219,-1.1297621726989746,-1.3201907873153687
13899,-3.7729401469732693e-07,0.21924825012683868,69500,21,0.9986769800000005,13900,198.03,0.0007,3219,0.9630473516881466,-1.3317447155714035e-05
13999,0.5096506476402283,1.3421859741210938,70000,21,-1.7241886299999982,14000,199.2,0.0007,3220,0.8024095445871353,-0.8245836496353149
14099,-2.213810920715332,12.138887405395508,70500,21,0.38274740000000124,14100,203.83,0.0007,3220,0.5350981652736664,-0.698864758014679
14199,-0.5628981590270996,1.9319190979003906,71000,22,0.38274740000000124,14200,203.83,0.0007,3221,0.6403517425060272,-0.5103772282600403
14299,0.34614720940589905,0.45468655228614807,71500,22,-0.3579369199999982,14300,211.56,0.0007,3221,0.1220446228981018,-1.1486502885818481
14399,-1.3838825225830078,6.470340728759766,72000,22,-0.3579369199999982,14400,211.56,0.0007,3221,-0.14010655879974365,-1.020043134689331
14499,-2.0159945487976074,5.704164981842041,72500,22,0.45042244000000137,14500,218.88,0.0007,3222,-0.31478404998779297,-0.5030444860458374
14599,-0.8390141725540161,6.501594543457031,73000,22,0.45042244000000137,14600,218.88,0.0007,3222,-0.10284161567687988,-1.1181981563568115
14699,0.33771491050720215,2.174217700958252,73500,22,-0.04502859999999913,14700,226.65,0.0007,3222,0.3694181442260742,-0.4819052815437317
14799,0.06351635605096817,1.3073488473892212,74000,22,-0.04502859999999913,14800,226.65,0.0007,3222,0.5159595310688019,-0.42675790190696716
14899,-3.7660419940948486,23.348102569580078,74500,23,0.16496363000000058,14900,234.06,0.0007,3223,0.0020009875297546387,-0.9748388528823853
14999,-0.7120600938796997,1.2368015050888062,75000,23,0.16496363000000058,15000,234.06,0.0007,3222,0.1262034773826599,-0.5234805941581726
15099,-0.5548345446586609,0.9069037437438965,75500,23,-0.8612532599999996,15100,241.46,0.0007,3222,-0.09997797012329102,-0.8889907598495483
15199,2.3946166038513184,9.543634414672852,76000,23,-0.8612532599999996,15200,241.46,0.0007,3222,-0.5592548847198486,-0.8854743242263794
15299,-0.1957050859928131,3.001283645629883,76500,23,-0.9317331399999992,15300,250.53,0.0007,3222,-0.4633612632751465,-0.9557048678398132
15399,-0.04855014383792877,1.1340972185134888,77000,23,-0.9317331399999992,15400,250.53,0.0007,3222,0.07423573732376099,-0.28906503319740295
15499,-0.4784541726112366,1.283687949180603,77500,24,-4.15948791,15500,256.72,0.0007,3223,-0.24256384372711182,-0.7802267074584961
15599,-0.12923848628997803,1.4239304065704346,78000,24,-4.15948791,15600,256.72,0.0007,3223,0.22263121604919434,-0.7966505289077759
15699,0.49573788046836853,3.6075940132141113,78500,24,-7.541027989999999,15700,264.13,0.0007,3224,0.15852904319763184,-0.5985785126686096
15799,-1.5827645063400269,5.7032647132873535,79000,24,-7.541027989999999,15800,264.13,0.0007,3224,0.06881201267242432,-0.5740671753883362
15899,1.2559552192687988,6.528040409088135,79500,24,-9.06888192,15900,271.41,0.0007,3224,-0.17078125476837158,-0.7025241255760193
15999,-0.242794468998909,1.6901395320892334,80000,24,-9.06888192,16000,271.41,0.0007,3225,-3.1115527153015137,-0.38099604845046997
16099,-1.867282509803772,85.04073333740234,80500,24,-12.84381457,16100,278.46,0.0007,3225,-12.137145042419434,-0.45280560851097107
16199,-0.2778601050376892,1.2293529510498047,81000,25,-12.84381457,16200,278.46,0.0007,3225,0.746741771697998,-0.7683326601982117
16299,-1.364142656326294,2.4205374717712402,81500,25,-11.359923169999997,16300,285.36,0.0007,3225,0.13719749450683594,-0.4999157786369324
16399,-0.040244974195957184,0.2878369688987732,82000,25,-11.359923169999997,16400,285.36,0.0007,3225,0.7290854454040527,-0.7110559344291687
16499,-0.1134360060095787,0.17887382209300995,82500,25,-12.534453579999997,16500,294.24,0.0007,3225,0.44561123847961426,-0.8079023361206055
16599,-2.1230947971343994,32.50739288330078,83000,25,-12.534453579999997,16600,294.24,0.0007,3223,-0.5663825273513794,-0.8164172172546387
16699,-0.04234188050031662,11.276674270629883,83500,25,-16.347051769999997,16700,303.97,0.0007,3223,-0.5354934930801392,-0.0863833948969841
16799,0.5577183961868286,0.7938833832740784,84000,26,-16.347051769999997,16800,303.97,0.0007,3222,0.025440096855163574,-0.5522310137748718
16899,1.2889225482940674,18.1162109375,84500,26,-16.572614009999995,16900,308.73,0.0007,3223,0.3326845169067383,-0.643495500087738
16999,1.2279409170150757,7.363806247711182,85000,26,-16.572614009999995,17000,308.73,0.0007,3223,0.656648188829422,-0.7681567072868347
17099,-0.032638318836688995,0.45264559984207153,85500,26,-17.043921319999995,17100,317.2,0.0007,3223,-0.3823673725128174,-0.3873504102230072
17199,0.34034857153892517,1.8129409551620483,86000,26,-17.043921319999995,17200,317.2,0.0007,3223,-0.4010425806045532,-0.48484402894973755
17299,-0.15149396657943726,29.049022674560547,86500,26,-20.229479089999998,17300,322.52,0.0007,3224,-1.6286911964416504,-0.23755964636802673
17399,0.12498392164707184,0.5301178097724915,87000,26,-20.229479089999998,17400,322.52,0.0007,3224,0.6055581569671631,-0.9227646589279175
17499,3.5250258445739746,14.324371337890625,87500,27,-19.00640278,17500,330.93,0.0007,3224,0.5424566566944122,-0.3371707797050476
17599,-0.7915947437286377,1.0927313566207886,88000,27,-20.56668448,17600,331.33,0.0007,3224,0.34190016984939575,-0.7296292781829834
