train/n_updates,train/value_loss,time/time_elapsed,train/std,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
4199,0.34651392698287964,133,0.7604525089263916,4200,33600,0.3639063239097595,-4.572236061096191,252,-2.1312904357910156,0.00096,213.5,-104.59688134999996
4299,0.08179764449596405,135,0.7602367401123047,4300,34400,0.5941906869411469,-4.573956489562988,253,-1.64076566696167,0.00096,206.42,-103.59225556
4399,0.36680519580841064,138,0.7546952962875366,4400,35200,-8.75960922241211,-4.543461799621582,255,1.8940911293029785,0.00096,198.42,-102.42222913999998
4499,2711.12060546875,140,0.7471773624420166,4500,36000,0.17817151546478271,-4.501376152038574,256,-161.83157348632812,0.00096,197.81,-102.23072182
4599,0.20011036098003387,143,0.7435093522071838,4600,36800,0.7467924058437347,-4.47918701171875,257,-1.7778815031051636,0.00096,199.22,-102.20147077
4699,0.044224053621292114,145,0.7439839243888855,4700,37600,-13.060778617858887,-4.48149299621582,258,0.7361462116241455,0.00096,199.22,-102.20147077
4799,1.8826619386672974,148,0.7363674640655518,4800,38400,0.1942116618156433,-4.4415364265441895,259,6.043481826782227,0.00096,204.03,-101.42478263999998
4899,3.3615503311157227,150,0.728392481803894,4900,39200,-0.4353235960006714,-4.396927833557129,260,-5.718717098236084,0.00096,204.17,-101.39579748999996
4999,0.2970760464668274,153,0.7187525033950806,5000,40000,0.7248983085155487,-4.347468376159668,260,-1.8297226428985596,0.00096,216.46,-101.40503622
5099,1.0253920555114746,156,0.717740535736084,5100,40800,0.4322792887687683,-4.339905738830566,260,-3.1422617435455322,0.00096,216.15,-101.17641855
5199,0.08000887930393219,159,0.7081607580184937,5200,41600,-0.25595366954803467,-4.292734146118164,260,0.6005768775939941,0.00096,219.4,-101.30577441999999
5299,0.24027273058891296,163,0.7007362842559814,5300,42400,-0.36009788513183594,-4.2460832595825195,260,1.882168173789978,0.00096,210.59,-100.46121312999999
5399,0.05426836758852005,166,0.7014400959014893,5400,43200,0.07126343250274658,-4.250611782073975,260,0.34974169731140137,0.00096,205.23,-99.78893349
5499,0.1327776163816452,169,0.6976329684257507,5500,44000,-0.6366266012191772,-4.228212356567383,260,-1.420928716659546,0.00096,205.3,-99.70869229000002
5599,0.1079297587275505,172,0.6954487562179565,5600,44800,-2.8645999431610107,-4.214517116546631,260,-0.9650624394416809,0.00096,208.42,-99.54731489000001
5699,0.020222235471010208,174,0.6949475407600403,5700,45600,-9.275288581848145,-4.212096691131592,260,0.020757712423801422,0.00096,211.13,-99.39675473999999
