train/learning_rate,time/fps,train/loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates
0.0001,356,0.4197525382041931,-12.821581210000002,540,203725,570,0.05,767.03,50906
0.0001,355,0.36797600984573364,-16.697267100000005,544,207725,584,0.05,780.36,51906
0.0001,354,0.3484233617782593,-19.042715449999996,548,211725,596,0.05,808.19,52906
0.0001,353,0.25396713614463806,-22.88682482,552,215725,610,0.05,822.24,53906
0.0001,352,0.39064812660217285,-25.595100060000004,556,219725,623,0.05,835.45,54906
0.0001,351,0.25082409381866455,-28.348957050000003,560,223725,636,0.05,848.06,55906
0.0001,350,0.25211456418037415,-31.39825371,564,227725,649,0.05,867.66,56906
0.0001,349,0.3797510266304016,-37.87462415,568,231725,662,0.05,887.58,57906
0.0001,348,0.22178122401237488,-38.824017510000004,572,235725,675,0.05,900.9,58906
0.0001,348,0.390713095664978,-40.52596793,576,239725,687,0.05,906.98,59906
0.0001,348,0.3785068094730377,-41.423051160000014,580,243720,699,0.05,913.48,60904
0.0001,348,0.23985914885997772,-44.94525955,584,247720,710,0.05,926.49,61904
0.0001,348,0.3725138306617737,-48.22677614,588,251720,723,0.05,939.44,62904
0.0001,348,0.22278107702732086,-46.64879613,592,253460,727,0.05,924.06,63339
0.0001,347,0.37389910221099854,-46.12587714999999,596,257455,740,0.05,937.68,64338
0.0001,347,1.1928775310516357,-41.81636471000001,600,260407,750,0.05,943.62,65076
0.0001,347,0.4969119429588318,-40.51747622999999,604,263858,759,0.05,938.13,65939
0.0001,347,0.6162671446800232,-32.86021375,608,265754,764,0.05,917.09,66413
0.0001,347,0.4158605933189392,-33.29607652,612,266639,766,0.05,892.25,66634
0.0001,347,0.35275301337242126,-31.49880327,616,267807,769,0.05,863.93,66926
0.0001,348,0.4701523184776306,-33.19590142999999,620,268492,771,0.05,839.82,67097
0.0001,348,0.21203166246414185,-28.4292126,624,270094,775,0.05,815.84,67498
0.0001,348,0.14091123640537262,-26.396825780000004,628,271207,778,0.05,786.97,67776
0.0001,348,0.4734041392803192,-22.91652292,632,272914,783,0.05,771.89,68203
0.0001,348,0.9170719385147095,-17.424615359999997,636,274639,788,0.05,749.14,68634
0.0001,348,0.34480050206184387,-13.30455891,640,277137,796,0.05,734.12,69259
0.0001,348,0.25093403458595276,-7.071081410000001,644,279019,801,0.05,712.94,69729
0.0001,347,0.18293511867523193,-3.6885426,648,281231,808,0.05,695.06,70282
0.0001,347,0.2019471675157547,2.2512161099999997,652,282907,813,0.05,671.82,70701
0.0001,347,3.03220534324646,5.317585319999998,656,285618,821,0.05,658.93,71379
0.0001,347,0.29625827074050903,7.94038118,660,286791,824,0.05,630.66,71672
0.0001,348,1.4771023988723755,7.206609220000001,664,287884,826,0.05,601.59,71945
0.0001,347,0.1982274055480957,16.08269491,668,290315,834,0.05,585.9,72553
0.0001,348,0.7296507358551025,22.527498519999998,672,291661,837,0.05,559.36,72890
0.0001,348,0.1909458339214325,31.539165230000002,676,293536,842,0.05,538.11,73358
0.0001,348,0.25604304671287537,31.42166184,680,294396,844,0.05,506.76,73573
0.0001,348,0.22993120551109314,35.67777913,684,296782,850,0.05,490.62,74170
0.0001,348,0.2684512734413147,40.05434044,688,298402,855,0.05,466.82,74575
0.0001,348,0.5378466844558716,38.40052093,692,300089,860,0.05,466.29,74997
0.0001,349,0.2584223747253418,42.06734638999999,696,301869,864,0.05,444.14,75442
0.0001,349,0.12989050149917603,38.80978519,700,302707,866,0.05,423.0,75651
0.0001,349,0.2530626356601715,44.266167100000004,704,304555,871,0.05,406.97,76113
0.0001,349,0.16888561844825745,43.317416510000015,708,305910,874,0.05,401.56,76452
0.0001,350,0.9629721641540527,45.10865175,712,307125,877,0.05,404.86,76756
0.0001,350,0.0946693867444992,46.78323171,716,308526,881,0.05,407.19,77106
0.0001,350,1.8720262050628662,50.24579547000001,720,310008,884,0.05,415.16,77476
0.0001,350,2.904034376144409,48.23908835,724,310925,886,0.05,408.31,77706
0.0001,350,0.7547606229782104,52.99402564000001,728,313152,893,0.05,419.45,78262
0.0001,350,0.3264949321746826,49.78351807999999,732,315250,898,0.05,423.36,78787
0.0001,350,2.3376364707946777,50.81413550000001,736,316654,902,0.05,420.15,79138
0.0001,351,0.90435391664505,51.85460195999999,740,318373,906,0.05,412.36,79568
0.0001,351,0.23265185952186584,50.35189281000001,744,319138,908,0.05,401.19,79759
0.0001,351,3.504920482635498,49.61047714,748,320870,913,0.05,396.39,80192
