train/learning_rate,train/value_loss,train/policy_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/fps,train/entropy_loss,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean
0.0007,6.920076316418999e-07,0.0005056550144217908,-0.01812577247619629,34599,152.77,353,-0.4675135314464569,34600,488,173000,152.77
0.0007,3.0294759767457435e-07,-0.00033281376818194985,-0.6899011135101318,34699,151.89,354,-0.6567161083221436,34700,489,173500,151.89
0.0007,4.484550970573764e-07,0.00019080404308624566,0.11303907632827759,34799,150.23,354,-0.5735954642295837,34800,490,174000,150.23
0.0007,1.621202136448119e-05,0.003430087585002184,-0.8259804248809814,34899,150.63,354,-0.2583622932434082,34900,491,174500,150.63
0.0007,7.482326964236563e-06,0.001076308311894536,0.041591644287109375,34999,152.75,355,-0.4950293004512787,35000,492,175000,152.75
0.0007,2.740765978614945e-07,0.00013575343473348767,-1.521148681640625,35099,153.7,355,-0.555047869682312,35100,493,175500,153.7
0.0007,1.684762622744529e-07,0.0001310513325734064,0.7001201808452606,35199,154.71,355,-0.41286832094192505,35200,494,176000,154.71
0.0007,1.8423423853164422e-06,0.00036625965731218457,-0.16610944271087646,35299,154.59,356,-0.558480441570282,35300,495,176500,154.59
0.0007,9.186216516354762e-07,0.0003735744103323668,0.15005946159362793,35399,155.27,356,-0.5307694673538208,35400,496,177000,155.27
0.0007,7.535226359323133e-06,0.0012112540425732732,-0.10821187496185303,35499,155.02,356,-0.5138782858848572,35500,497,177500,155.02
0.0007,1.4355347957462072e-05,-0.00021534769621212035,-129.2000732421875,35599,154.53,357,-0.5254881978034973,35600,498,178000,154.53
0.0007,2.8810698040615534e-06,-0.0007301273290067911,-80.27777099609375,35699,153.55,357,-0.6375903487205505,35700,499,178500,153.55
0.0007,1.1584372714423807e-06,0.000502275419421494,-0.1722177267074585,35799,152.26,357,-0.4222973883152008,35800,500,179000,152.26
0.0007,1.9516552129061893e-05,0.002064815955236554,-0.12008607387542725,35899,148.01,358,-0.4196089804172516,35900,501,179500,148.01
0.0007,1.457403413951397e-05,0.0024370665196329355,-0.36229634284973145,35999,143.88,358,-0.43463021516799927,36000,502,180000,143.88
0.0007,6.952835519768996e-06,-0.0005996678373776376,-416.41796875,36099,135.07,358,-0.5867992639541626,36100,503,180500,135.07
0.0007,7588.4384765625,-43.29383850097656,0.0005461573600769043,36199,129.75,359,-0.5334271788597107,36200,504,181000,129.75
0.0007,0.00015764783893246204,-0.0005901979166083038,-501.17449951171875,36299,124.44,359,-0.4695938229560852,36300,505,181500,124.44
0.0007,1.628891368454788e-05,0.002010905649513006,-1.713275671005249,36399,127.75,359,-0.42697960138320923,36400,506,182000,127.75
0.0007,3.2470539736095816e-05,0.002218504436314106,0.000975191593170166,36499,128.66,359,-0.40694913268089294,36500,507,182500,128.66
0.0007,4.6015218686079606e-05,0.0025055562146008015,-0.012224793434143066,36599,125.64,359,-0.44872093200683594,36600,508,183000,125.64
0.0007,3.603652658057399e-05,0.0013419997412711382,-1.674816370010376,36699,116.84,360,-0.4765772819519043,36700,509,183500,116.84
0.0007,0.0022361630108207464,-0.006804229225963354,-230.69955444335938,36799,106.94,360,-0.4105120599269867,36800,510,184000,106.94
0.0007,8.357648039236665e-05,0.004440739750862122,-0.8381872177124023,36899,101.62,360,-0.37492114305496216,36900,511,184500,101.62
0.0007,0.02124684490263462,-0.05820727348327637,-8.13261890411377,36999,89.42,360,-0.4385371208190918,37000,512,185000,89.42
0.0007,0.0031997987534850836,0.01464923657476902,0.5124670267105103,37099,62.41,360,-0.5832400321960449,37100,513,185500,62.41
0.0007,0.008413458243012428,0.027183756232261658,0.13137292861938477,37199,31.84,361,-0.4708436131477356,37200,514,186000,31.84
0.0007,5093.5107421875,-47.458126068115234,0.022429466247558594,37299,24.88,361,-0.28505420684814453,37300,515,186500,24.88
0.0007,0.01520463265478611,0.025922557339072227,0.13441568613052368,37399,23.99,361,-0.4271259307861328,37400,516,187000,23.99
0.0007,7366.80615234375,-41.839805603027344,0.016020596027374268,37499,27.12,362,-0.4408999979496002,37500,517,187500,27.12
0.0007,0.0004346542991697788,0.013710764236748219,0.04432320594787598,37599,29.8,362,-0.30056652426719666,37600,518,188000,29.8
0.0007,1.7657759599387646e-05,-0.0005069303442724049,0.5178737044334412,37699,33.01,362,-0.40292367339134216,37700,519,188500,33.01
0.0007,5.524682273971848e-05,0.0013049449771642685,-0.022846341133117676,37799,36.99,363,-0.43527671694755554,37800,520,189000,36.99
0.0007,6.720497185597196e-05,0.002222006907686591,0.4484953284263611,37899,40.92,363,-0.3986250162124634,37900,521,189500,40.92
0.0007,1.7861684682429768e-05,0.0007515923934988678,0.22982662916183472,37999,44.05,363,-0.4118422567844391,38000,522,190000,44.05
0.0007,1.6753725503804162e-05,0.0013786839554086328,0.641462117433548,38099,49.74,363,-0.42828646302223206,38100,523,190500,49.74
0.0007,0.00013698553084395826,0.0018986929208040237,0.5782476365566254,38199,52.87,364,-0.3637164533138275,38200,524,191000,52.87
0.0007,0.004962263163179159,-0.01838632859289646,-22.260446548461914,38299,58.86,364,-0.4546017348766327,38300,525,191500,58.86
0.0007,0.29980191588401794,-0.12376455217599869,-19.779911041259766,38399,63.07,364,-0.45431452989578247,38400,526,192000,63.07
0.0007,7.628261089324951,1.0459339618682861,0.49608439207077026,38499,66.96,365,-0.5970650315284729,38500,527,192500,66.96
0.0007,4.822442054748535,0.9734380841255188,-6.616826057434082,38599,70.49,365,-0.5218074917793274,38600,528,193000,70.49
0.0007,1790.4443359375,-6.27768611907959,0.07007730007171631,38699,77.41,365,-0.23110103607177734,38700,529,193500,77.41
0.0007,0.01665439084172249,0.006800227798521519,-4.60072660446167,38799,81.7,366,-0.3084610104560852,38800,530,194000,81.7
0.0007,0.0002643309999257326,-0.00035499324440024793,0.9011345729231834,38899,85.15,366,-0.43625307083129883,38900,530,194500,85.15
0.0007,0.0003787140885833651,0.0021044330205768347,0.9608362354338169,38999,86.09,366,-0.4165929853916168,39000,531,195000,86.09
0.0007,2.248265504837036,-0.23192043602466583,-4.926085948944092,39099,78.67,366,-0.38510847091674805,39100,532,195500,78.67
0.0007,0.20798997581005096,-0.10650994628667831,0.8890000730752945,39199,71.44,367,-0.31427979469299316,39200,533,196000,71.44
0.0007,0.11569662392139435,0.01659630425274372,0.8496384471654892,39299,66.9,367,-0.23149226605892181,39300,534,196500,66.9
0.0007,0.014235759153962135,0.026130979880690575,0.9890336291864514,39399,62.04,367,-0.40700456500053406,39400,535,197000,62.04
0.0007,0.13153426349163055,0.13299669325351715,0.9132374301552773,39499,61.24,368,-0.44014716148376465,39500,536,197500,61.24
0.0007,5.520934581756592,0.6811371445655823,0.5252592861652374,39599,64.08,368,-0.48272705078125,39600,537,198000,64.08
0.0007,0.08155461400747299,0.03588635474443436,-0.10341966152191162,39699,68.61,368,-0.36754775047302246,39700,538,198500,68.61
0.0007,2.7995009422302246,0.13198590278625488,0.4741622805595398,39799,70.12,368,-0.31137165427207947,39800,539,199000,70.12
0.0007,0.9750667810440063,0.07328388839960098,0.7610823810100555,39899,74.34,369,-0.22346238791942596,39900,540,199500,74.34
0.0007,0.0028556992765516043,0.005579774733632803,-9.686168670654297,39999,75.03,369,-0.348874568939209,40000,541,200000,75.03
0.0007,0.10712814331054688,0.11754689365625381,-2878.701904296875,40099,78.46,369,-0.3116985261440277,40100,542,200500,78.46
