train/learning_rate,time/fps,rollout/ep_len_mean,train/value_loss,train/policy_loss,train/explained_variance,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates
0.0007,238,78.62105263157895,0.7893595695495605,0.09365618228912354,-4.57763671875e-05,78.62105263157895,31,1500,7500,-0.3474952280521393,1499
0.0007,238,81.90721649484536,0.5584390759468079,0.37528759241104126,-0.00016415119171142578,81.90721649484536,33,1600,8000,-0.4422547519207001,1599
0.0007,239,84.8,0.36902156472206116,0.09768659621477127,5.9664249420166016e-05,84.8,35,1700,8500,-0.44640564918518066,1699
0.0007,240,88.66,0.221443772315979,0.18391691148281097,-6.61611557006836e-05,88.66,37,1800,9000,-0.32177549600601196,1799
0.0007,241,92.73,0.10893859714269638,0.11373727768659592,6.192922592163086e-05,92.73,39,1900,9500,-0.4366845190525055,1899
0.0007,241,96.38,0.03830596059560776,0.05053560063242912,-2.384185791015625e-07,96.38,41,2000,10000,-0.3189564347267151,1999
0.0007,242,100.27,0.003833203110843897,0.0197510477155447,-0.0002480745315551758,100.27,43,2100,10500,-0.3753679692745209,2099
0.0007,242,103.71,8.746721141505986e-05,0.0010728173656389117,-0.004364490509033203,103.71,45,2200,11000,-0.32287880778312683,2199
0.0007,243,106.61,1.3250275515019894e-05,0.0003928990045096725,-0.01118934154510498,106.61,47,2300,11500,-0.3501199781894684,2299
0.0007,243,110.36,2.0145089365541935e-06,0.00047386190271936357,-0.0036160945892333984,110.36,49,2400,12000,-0.47095710039138794,2399
0.0007,244,113.93,4.263594746589661e-06,0.0009684389806352556,0.012327134609222412,113.93,51,2500,12500,-0.3812372386455536,2499
0.0007,244,117.05,1.6668438547640108e-05,0.002284975489601493,-0.005003690719604492,117.05,53,2600,13000,-0.2796332538127899,2599
0.0007,244,120.79,1.0869826837733854e-05,0.0013806897914037108,-0.001607060432434082,120.79,55,2700,13500,-0.39845412969589233,2699
0.0007,245,122.99,3.037857823073864e-07,0.0002374364557908848,-0.03785419464111328,122.99,57,2800,14000,-0.4051738679409027,2799
0.0007,245,125.21,1.8835149603546597e-05,0.0022571522276848555,0.011794567108154297,125.21,59,2900,14500,-0.44788074493408203,2899
0.0007,245,127.02,1.4703255502013235e-08,3.538982855388895e-05,0.03520005941390991,127.02,61,3000,15000,-0.4138014018535614,2999
0.0007,245,127.07,7.819710845069494e-06,0.0013357376446947455,-6.031990051269531e-05,127.07,63,3100,15500,-0.5089318156242371,3099
0.0007,246,129.21,1.5938538808768499e-06,0.000817357562482357,-0.0003561973571777344,129.21,65,3200,16000,-0.48966264724731445,3199
0.0007,246,130.3,1.1175871339474952e-09,1.6573698303545825e-05,-1.0799999237060547,130.3,66,3300,16500,-0.5476030707359314,3299
0.0007,246,134.33,3.2712705877457893e-09,3.333722270326689e-05,0.25,134.33,68,3400,17000,-0.41233912110328674,3399
0.0007,246,137.2,2.3617374608875252e-05,0.0013958950294181705,4.094839096069336e-05,137.2,70,3500,17500,-0.4413735866546631,3499
0.0007,246,138.03,5764.3525390625,-40.696144104003906,-4.76837158203125e-07,138.03,72,3600,18000,-0.5003272294998169,3599
0.0007,246,138.37,2.293381839990616e-08,6.242386734811589e-05,-0.08249258995056152,138.37,74,3700,18500,-0.4677557945251465,3699
0.0007,247,141.68,2.335291426902586e-08,2.9875280233682133e-05,-0.1352940797805786,141.68,76,3800,19000,-0.4819001257419586,3799
0.0007,247,144.61,1.1641532356165829e-11,-0.0,nan,144.61,78,3900,19500,-0.5242123603820801,3899
0.0007,247,146.47,6.984919587171845e-11,3.8923181477912294e-07,nan,146.47,80,4000,20000,-0.41641560196876526,3999
0.0007,247,152.34,1.199077837021889e-09,5.197279733692994e-06,-0.48000001907348633,152.34,82,4100,20500,-0.40805569291114807,4099
0.0007,247,154.92,2.1886081835731375e-09,-3.225415275665e-05,nan,154.92,84,4200,21000,-0.4019118845462799,4199
0.0007,247,160.35,1.2107519978599157e-05,0.0015557681908831,-0.0059375762939453125,160.35,86,4300,21500,-0.4806675612926483,4299
0.0007,247,162.83,3.026798534033759e-10,1.858177029134822e-06,nan,162.83,88,4400,22000,-0.35674571990966797,4399
0.0007,247,163.65,1.4551915228366852e-09,1.3001308616367169e-05,nan,163.65,90,4500,22500,-0.516983687877655,4499
0.0007,248,166.25,1.8742867258225715e-09,3.585079684853554e-05,-0.11999988555908203,166.25,92,4600,23000,-0.2635883390903473,4599
